level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,level_9,level_10,level_11,description
Attention and Perception,Sustained Attention,Endurance of Focus,Focus Stability,Distraction Resistance,Interrupt Minimization,,,,,,Ability to maintain task focus beyond average time spans.
Attention and Perception,Sustained Attention,Endurance of Focus,Focus Stability,Distraction Resistance,Interrupt Minimization,Barrier Creation Policies,,,,,Methods to counteract cognitive fatigue during prolonged focus.
Attention and Perception,Sustained Attention,Endurance of Focus,Focus Stability,Fatigue Resilience,,,,,,,Techniques for maintaining focus endurance without quality degradation.
Attention and Perception,Sustained Attention,Endurance of Focus,Focus Stability,Fatigue Resilience,Cognitive Rejuvenation,,,,,,Approaches to sustain deep engagement in long-duration tasks.
Attention and Perception,Sustained Attention,Endurance of Focus,Focus Stability,Fatigue Resilience,Cognitive Rejuvenation,Rapid Recovery Rituals,,,,,Programs designed to align personal goals with task requirements to promote continued engagement.
Attention and Perception,Sustained Attention,Mental Stamina,,,,,,,,,The ability to remain attentive despite potential distractions or fatigue.
Attention and Perception,Sustained Attention,Mental Stamina,Resistance to Mental Fatigue,,,,,,,,Minimizing the effect of external interruptions on focus stability.
Attention and Perception,Sustained Attention,Mental Stamina,Resistance to Mental Fatigue,Cognitive Endurance,,,,,,,Techniques to mentally isolate distractions to maintain task focus.
Attention and Perception,Sustained Attention,Mental Stamina,Resistance to Mental Fatigue,Cognitive Endurance,Extended Cognitive Burden Management,,,,,,Strategies to reduce the frequency and impact of interruptions during tasks.
Attention and Perception,Sustained Attention,Mental Stamina,Resistance to Mental Fatigue,Cognitive Endurance,Cognitive Effort Regulation,,,,,,Developing physical or mental barriers to limit task interruptions.
Attention and Perception,Sustained Attention,Mental Stamina,Resistance to Mental Fatigue,Cognitive Endurance,Cognitive Effort Regulation,Effort Perception Adjustment,,,,,Preserving focus when mentally fatigued or overused.
Attention and Perception,Sustained Attention,Mental Stamina,Resistance to Mental Fatigue,Cognitive Endurance,Cognitive Effort Regulation,Effort Perception Adjustment,Effort Awareness Strategies,,,,Strategies for refreshing mental focus after bouts of fatigue.
Attention and Perception,Sustained Attention,Mental Stamina,Performance Consistency,,,,,,,,Short practices to quickly regain mental energy and focus.
Attention and Perception,Sustained Attention,Mental Stamina,Performance Consistency,Variable Task Stability,,,,,,,The endurance of cognitive focus and resistance to mental fatigue during prolonged tasks.
Attention and Perception,Sustained Attention,Mental Stamina,Performance Consistency,Variable Task Stability,Task Type Uniformity,,,,,,Enduring cognitive tasks without decline in performance over time.
Attention and Perception,Sustained Attention,Mental Stamina,Performance Consistency,Variable Task Stability,Task Equilibrium Strategies,,,,,,Sustaining mental effort during extensive cognitive tasks without fatigue.
Attention and Perception,Sustained Attention,Mental Stamina,Performance Decay Mitigation,,,,,,,,Handling tasks needing prolonged cognitive effort without faltering.
Attention and Perception,Sustained Attention,Mental Stamina,Performance Decay Mitigation,Decay Prevention Techniques,,,,,,,Balancing mental effort levels for task longevity.
Attention and Perception,Sustained Attention,Mental Stamina,Performance Decay Mitigation,Efficiency Retention,,,,,,,Modifying perceptions of effort to enhance cognitive endurance.
Attention and Perception,Sustained Attention,Resilience Training,,,,,,,,,Raising awareness of effort levels to optimize cognitive performance.
Attention and Perception,Sustained Attention,Resilience Training,Endurance Building Exercises,,,,,,,,Maintaining consistent output even under extensive mental tasks.
Attention and Perception,Sustained Attention,Resilience Training,Diverse Task Handling,,,,,,,,Ensuring consistent performance across different task types.
Attention and Perception,Sustained Attention,Resilience Training,Diverse Task Handling,Variable Task Exposure,,,,,,,Ensuring responses are stable regardless of task variation.
Attention and Perception,Mental Resilience,,,,,,,,,,Approaches to maintain equal performance across task demands.
Attention and Perception,Mental Resilience,Recovery Speed,,,,,,,,,Avoiding early degradation in task efficiency over time.
Attention and Perception,Mental Resilience,Recovery Speed,Rapid Recuperation Techniques,,,,,,,,Methods to maintain performance levels over extended periods.
Attention and Perception,Mental Resilience,Recovery Speed,Baseline Reestablishment,,,,,,,,Strategies for retaining high task performance despite strain.
Attention and Perception,Mental Resilience,Recovery Speed,Baseline Reestablishment,Performance Baseline Restoration,,,,,,,Techniques enhancing cognitive stamina for longer task endurance.
Attention and Perception,Mental Resilience,Recovery Speed,Baseline Reestablishment,Cognitive State Stability,,,,,,,Exercises designed to incrementally increase mental task endurance.
Attention and Perception,Mental Resilience,Adaptive Coping Mechanisms,,,,,,,,,Approaches that involve exposure to varied task types to boost overall endurance.
Attention and Perception,Mental Resilience,Adaptive Coping Mechanisms,Stress Response Modulation,,,,,,,,Engagement in a range of task types to improve adaptability and stamina.
Attention and Perception,Mental Resilience,Adaptive Coping Mechanisms,Efficient Resource Reallocation,,,,,,,,Bouncing back from cognitive exertion without performance deterioration.
Attention and Perception,Mental Resilience,Adaptive Coping Mechanisms,Efficient Resource Reallocation,Resource Optimization,,,,,,,The rate at which cognitive function returns after mental exertion.
Attention and Perception,Mental Resilience,Adaptive Coping Mechanisms,Efficient Resource Reallocation,Dynamic Adaptation Techniques,,,,,,,Methods for quickly restoring cognitive strength post-exertion.
Adaptive Functioning and Life Skills,,,,,,,,,,,Returning to standard cognitive states after mental strain.
Adaptive Functioning and Life Skills,Daily Living Skills,,,,,,,,,,Quickly resuming baseline performance levels after cognitive load.
Adaptive Functioning and Life Skills,Daily Living Skills,Personal Care Skills,,,,,,,,,Maintaining consistent cognitive performance post-stress.
Adaptive Functioning and Life Skills,Daily Living Skills,Personal Care Skills,Dental Hygiene,,,,,,,,Strategies to manage and recover from mental strain effectively.
Adaptive Functioning and Life Skills,Daily Living Skills,Personal Care Skills,Dental Hygiene,Brushing Techniques,,,,,,,Adjusting reactions to cognitive stressors for better outcomes.
Adaptive Functioning and Life Skills,Daily Living Skills,Personal Care Skills,Dental Hygiene,Brushing Techniques,Electric vs. Manual Brushing,,,,,,Redirecting mental resources efficiently to maintain resilience.
Adaptive Functioning and Life Skills,Daily Living Skills,Personal Care Skills,Dental Hygiene,Brushing Techniques,Brushing Duration,,,,,,Enhancing resource usage for maximal cognitive resilience.
Adaptive Functioning and Life Skills,Daily Living Skills,Personal Care Skills,Grooming Routine,,,,,,,,Adjusting cognitive strategies dynamically to manage strain.
Adaptive Functioning and Life Skills,Daily Living Skills,Personal Care Skills,Grooming Routine,Hair Care,,,,,,,"The development and application of practical, everyday skills needed for personal and community living. This dimension includes gaining independence, managing personal finances, daily living skills, and adapting to change."
Adaptive Functioning and Life Skills,Daily Living Skills,Personal Care Skills,Grooming Routine,Hair Care,Haircut Maintenance,,,,,,"Skills related to personal care, health maintenance, and living independently, such as grooming, dressing, and eating."
Adaptive Functioning and Life Skills,Daily Living Skills,Personal Care Skills,Grooming Routine,Hair Care,Product Usage Skills,,,,,,"Skills for managing personal hygiene and grooming, such as brushing teeth, showering, and dressing appropriately."
Adaptive Functioning and Life Skills,Daily Living Skills,Health Maintenance Skills,,,,,,,,,"Skills related to maintaining oral health, including brushing teeth and flossing."
Adaptive Functioning and Life Skills,Daily Living Skills,Health Maintenance Skills,Medication Management,,,,,,,,Skills for effectively brushing teeth to maintain oral health.
Adaptive Functioning and Life Skills,Daily Living Skills,Health Maintenance Skills,Medication Management,Medication Adherence,,,,,,,Skills for choosing and effectively using either electric or manual toothbrushes based on oral health needs.
Adaptive Functioning and Life Skills,Daily Living Skills,Health Maintenance Skills,Medication Management,Medication Adherence,Reminder System Development,,,,,,Skills for ensuring appropriate length of time is spent brushing to cover all dental areas.
Adaptive Functioning and Life Skills,Daily Living Skills,Health Maintenance Skills,Medication Management,Medication Adherence,Understanding Side Effects,,,,,,Skills for regular grooming activities such as hair care and skincare.
Adaptive Functioning and Life Skills,Daily Living Skills,Health Monitoring,,,,,,,,,Skills for maintaining and styling hair appropriately.
Adaptive Functioning and Life Skills,Daily Living Skills,Health Monitoring,Symptom Tracking,,,,,,,,Skills for planning and obtaining regular haircuts based on personal and professional needs.
Adaptive Functioning and Life Skills,Daily Living Skills,Health Monitoring,Symptom Tracking,Using Health Apps,,,,,,,Skills for selecting and using hair products suitable for hair type and style goals.
Adaptive Functioning and Life Skills,Daily Living Skills,Daily Health Log,,,,,,,,,"Skills for managing personal health needs, including understanding medications and adhering to medical advice."
Adaptive Functioning and Life Skills,Daily Living Skills,Daily Health Log,Dietary Intake Logging,,,,,,,,Skills for understanding and correctly using medications as prescribed.
Adaptive Functioning and Life Skills,Daily Living Skills,Daily Health Log,Exercise Tracking Methods,,,,,,,,"Skills for consistently taking medications as prescribed, including setting reminders and understanding side effects."
Adaptive Functioning and Life Skills,Independent Living Skills,,,,,,,,,,Skills for creating effective reminder systems using digital tools or traditional methods.
Adaptive Functioning and Life Skills,Independent Living Skills,Cooking Skills,,,,,,,,,Skills for recognizing and managing potential side effects of medications effectively.
Adaptive Functioning and Life Skills,Independent Living Skills,Cooking Skills,Meal Planning,,,,,,,,"Skills for keeping track of health indicators such as weight, blood pressure, and symptoms."
Adaptive Functioning and Life Skills,Independent Living Skills,Cooking Skills,Meal Planning,Budget-Friendly Meal Plans,,,,,,,Skills for observing and recording changes in physical or mental health conditions.
Adaptive Functioning and Life Skills,Independent Living Skills,Cooking Skills,Meal Planning,Dietary Restriction Management,,,,,,,Skills for effectively utilizing health applications to track symptoms and health metrics.
Adaptive Functioning and Life Skills,Independent Living Skills,Cooking Techniques,,,,,,,,,Skills for maintaining a daily record of health metrics and lifestyle factors such as exercise and diet.
Adaptive Functioning and Life Skills,Independent Living Skills,Cooking Techniques,Healthy Cooking Methods,,,,,,,,Skills for accurately recording food and beverage consumption.
Adaptive Functioning and Life Skills,Independent Living Skills,Cooking Techniques,Kitchen Safety Practices,,,,,,,,Skills for systematically recording physical activity levels.
Adaptive Functioning and Life Skills,Household Management,,,,,,,,,,"Skills necessary for living independently, such as cooking, cleaning, and maintaining a household."
Adaptive Functioning and Life Skills,Household Management,Cleaning Routines,,,,,,,,,Skills for preparing meals safely and nutritiously.
Adaptive Functioning and Life Skills,Household Management,Cleaning Routines,Eco-Friendly Cleaning,,,,,,,,Skills for organizing meals according to nutritional needs and budget.
Motivation and Goal-Directed Behavior,,,,,,,,,,,Skills for designing meal plans that are both nutritious and cost-effective.
Motivation and Goal-Directed Behavior,Intrinsic Motivation,,,,,,,,,,Skills for accommodating dietary restrictions in meal plans.
Motivation and Goal-Directed Behavior,Intrinsic Motivation,Curiosity,,,,,,,,,Skills for using various cooking methods effectively and safely.
Motivation and Goal-Directed Behavior,Intrinsic Motivation,Curiosity,Exploratory Behavior,,,,,,,,Skills for applying cooking techniques that preserve the nutritional value of foods.
Motivation and Goal-Directed Behavior,Intrinsic Motivation,Curiosity,Exploratory Behavior,Active Exploration,,,,,,,Skills for maintaining safety while cooking to prevent accidents.
Motivation and Goal-Directed Behavior,Intrinsic Motivation,Curiosity,Exploratory Behavior,Active Exploration,Interactive Discovery,,,,,,Skills for keeping a living space clean and organized.
Motivation and Goal-Directed Behavior,Intrinsic Motivation,Curiosity,Exploratory Behavior,Active Exploration,Interactive Discovery,Engagement Motivation,,,,,Skills for establishing regular cleaning schedules to maintain a tidy environment.
Motivation and Goal-Directed Behavior,Intrinsic Motivation,Curiosity,Exploratory Behavior,Active Exploration,Interactive Discovery,Engagement Motivation,Experience-Based Learning,,,,Skills for utilizing environmentally friendly cleaning practices and products.
Motivation and Goal-Directed Behavior,Intrinsic Motivation,Curiosity,Exploratory Behavior,Active Exploration,Interactive Discovery,Engagement Motivation,Participatory Design,,,,"Involves the processes and mechanisms that initiate, guide, and sustain goal-oriented behaviors. This dimension includes both intrinsic and extrinsic motivational factors, the ability to set and achieve goals, and the capacity to persist in tasks despite challenges."
Motivation and Goal-Directed Behavior,Intrinsic Motivation,Curiosity,Exploratory Behavior,Active Exploration,Experimental Engagement,,,,,,"The drive that comes from within an individual to perform an activity for its own sake, out of interest or enjoyment."
Motivation and Goal-Directed Behavior,Intrinsic Motivation,Curiosity,Exploratory Behavior,Active Exploration,Experimental Engagement,Hypothesis Testing,,,,,"A desire to learn or know about something, which can drive engagement in new and challenging activities."
Motivation and Goal-Directed Behavior,Intrinsic Motivation,Curiosity,Exploratory Behavior,Active Exploration,Experimental Engagement,Adaptive Learning,,,,,Engaging in activities with the intent to discover new information or learn about unfamiliar subjects.
Motivation and Goal-Directed Behavior,Intrinsic Motivation,Curiosity,Exploratory Behavior,Passive Observation,,,,,,,Intentional and engaged exploration of environments or ideas to gain new knowledge.
Motivation and Goal-Directed Behavior,Intrinsic Motivation,Curiosity,Exploratory Behavior,Passive Observation,Focused Observation,,,,,,Engaging with environments or content to actively learn through interaction and participation.
Motivation and Goal-Directed Behavior,Intrinsic Motivation,Curiosity,Exploratory Behavior,Passive Observation,Focused Observation,Attention to Detail,,,,,Interest-driven motivation to engage in activities that provide interactive or participatory discovery experiences.
Motivation and Goal-Directed Behavior,Intrinsic Motivation,Curiosity,Exploratory Behavior,Passive Observation,Focused Observation,Attention to Detail,Precision Analysis,,,,"Learning through direct engagement, enhancing personal insight and development."
Motivation and Goal-Directed Behavior,Intrinsic Motivation,Curiosity,Exploratory Behavior,Passive Observation,Focused Observation,Attention to Detail,Systematic Scanning,,,,Collaborative learning through active participation in creating or influencing content.
Motivation and Goal-Directed Behavior,Intrinsic Motivation,Curiosity,Exploratory Behavior,Passive Observation,Environmental Awareness,,,,,,Trying new methods or techniques to test hypotheses and learn from the experience.
Motivation and Goal-Directed Behavior,Intrinsic Motivation,Curiosity,Exploratory Behavior,Passive Observation,Environmental Awareness,Contextual Recognition,,,,,Systematic experimentation to validate ideas or assumptions through practical application.
Motivation and Goal-Directed Behavior,Intrinsic Motivation,Curiosity,Exploratory Behavior,Passive Observation,Environmental Awareness,Contextual Recognition,Situational Adaptability,,,,Modifying learning approaches based on experimental outcomes or feedback.
Motivation and Goal-Directed Behavior,Intrinsic Motivation,Curiosity,Imaginative Thinking,,,,,,,,Gaining knowledge by observing surroundings or situations without active engagement.
Motivation and Goal-Directed Behavior,Intrinsic Motivation,Curiosity,Imaginative Thinking,Creative Problem Solving,,,,,,,Creative problem solving encompasses generating new and novel ideas to solve problems.
Motivation and Goal-Directed Behavior,Intrinsic Motivation,Curiosity,Imaginative Thinking,Creative Problem Solving,Divergent Thinking,,,,,,Carefully watching and analyzing a particular situation to gather information.
Motivation and Goal-Directed Behavior,Intrinsic Motivation,Curiosity,Imaginative Thinking,Creative Problem Solving,Cross-Disciplinary Innovation,,,,,,Paying close and careful attention to specifics within observations for thorough understanding.
Motivation and Goal-Directed Behavior,Intrinsic Motivation,Curiosity,Autonomy,,,,,,,,Detailed scrutiny and assessment for improved accuracy of observational insights.
Motivation and Goal-Directed Behavior,Intrinsic Motivation,Curiosity,Autonomy,Self-Determination,,,,,,,Structured and repetitive observation to ensure comprehensive understanding.
Motivation and Goal-Directed Behavior,Intrinsic Motivation,Curiosity,Autonomy,Self-Determination,Personal Agency,,,,,,Being conscious of one’s surroundings and absorbing details without direct interaction.
Motivation and Goal-Directed Behavior,Intrinsic Motivation,Curiosity,Autonomy,Self-Determination,Personal Agency,Value-Driven Decision Making,,,,,Understanding environments and situations by perceiving background and situational context.
Motivation and Goal-Directed Behavior,Intrinsic Motivation,Curiosity,Autonomy,Self-Determination,Personal Agency,Individual Accountability,,,,,Adjusting perceptions and understanding based on varying environmental contexts.
Motivation and Goal-Directed Behavior,Intrinsic Motivation,Curiosity,Independence,,,,,,,,Engaging in creative and innovative thinking when exposed to new experiences.
Motivation and Goal-Directed Behavior,Intrinsic Motivation,Curiosity,Independence,Self-Reliance,,,,,,,Using imagination to generate solutions to problems.
Motivation and Goal-Directed Behavior,Intrinsic Motivation,Curiosity,Independence,Self-Reliance,Autonomous Living,,,,,,Generating multiple creative solutions to a given problem.
Motivation and Goal-Directed Behavior,Intrinsic Motivation,Curiosity,Independence,Self-Reliance,Resourcefulness,,,,,,Applying knowledge from different disciplines to create new solutions.
Motivation and Goal-Directed Behavior,Intrinsic Motivation,Extrinsic Motivation,,,,,,,,,"The sense of having control over one’s actions and decisions, fostering self-motivated behaviors."
Motivation and Goal-Directed Behavior,Intrinsic Motivation,Extrinsic Motivation,Incentives,,,,,,,,The process of utilizing one's freedom to take charge of one's actions and make personal decisions.
Motivation and Goal-Directed Behavior,Intrinsic Motivation,Extrinsic Motivation,Incentives,Material Incentives,,,,,,,The capacity to initiate actions and make choices based on personal values and beliefs.
Motivation and Goal-Directed Behavior,Intrinsic Motivation,Extrinsic Motivation,Incentives,Material Incentives,Financial Rewards,,,,,,Making choices based on deeply held personal values.
Motivation and Goal-Directed Behavior,Intrinsic Motivation,Extrinsic Motivation,Incentives,Material Incentives,Financial Rewards,Performance Bonuses,,,,,Taking responsibility for one's decisions and actions based on self-imposed principles.
Motivation and Goal-Directed Behavior,Intrinsic Motivation,Extrinsic Motivation,Incentives,Material Incentives,Financial Rewards,Merit-Based Raises,,,,,"The ability to think and act without being influenced by others, enhancing intrinsic motivation."
Motivation and Goal-Directed Behavior,Intrinsic Motivation,Extrinsic Motivation,Incentives,Tangible Benefits,,,,,,,Being dependent on one's own abilities and resources to achieve goals.
Motivation and Goal-Directed Behavior,Intrinsic Motivation,Extrinsic Motivation,Incentives,Tangible Benefits,Perquisite Straightening,,,,,,Managing independent living tasks without external support.
Motivation and Goal-Directed Behavior,Intrinsic Motivation,Extrinsic Motivation,Incentives,Tangible Benefits,Reward Accessibility,,,,,,Ability to find quick and clever ways to overcome difficulties without external help.
Motivation and Goal-Directed Behavior,Intrinsic Motivation,Extrinsic Motivation,Social Pressure,,,,,,,,"The motivation to perform activities due to an external reward or pressure, rather than for personal satisfaction or internal drive."
Motivation and Goal-Directed Behavior,Intrinsic Motivation,Extrinsic Motivation,Social Pressure,Peer Influence,,,,,,,External rewards or benefits that can motivate goal-directed behavior.
Motivation and Goal-Directed Behavior,Intrinsic Motivation,Extrinsic Motivation,Social Pressure,Peer Influence,Conformity,,,,,,"Tangible rewards, such as money or gifts, used to motivate behavior."
Motivation and Goal-Directed Behavior,Intrinsic Motivation,Extrinsic Motivation,Social Pressure,Peer Influence,Conformity,Behavioral Synchrony,,,,,Monetary compensation or bonuses given as motivation.
Motivation and Goal-Directed Behavior,Intrinsic Motivation,Extrinsic Motivation,Social Pressure,Peer Influence,Peer Approval,,,,,,Extra pay or rewards for achieving high performance levels.
Motivation and Goal-Directed Behavior,Intrinsic Motivation,Extrinsic Motivation,Social Pressure,Peer Influence,Peer Approval,Group Acceptance,,,,,Salary increases based on achievements or performance metrics.
Motivation and Goal-Directed Behavior,Intrinsic Motivation,Extrinsic Motivation,Social Pressure,Cultural Norms,,,,,,,"Non-monetary tangible items used as motivation, such as gifts or amenities."
Motivation and Goal-Directed Behavior,Intrinsic Motivation,Extrinsic Motivation,Social Pressure,Cultural Norms,Tradition Compliance,,,,,,"Enhancing benefits that motivate, like meal vouchers, travel passes, etc."
Motivation and Goal-Directed Behavior,Intrinsic Motivation,Extrinsic Motivation,Social Pressure,Cultural Norms,Societal Role Fulfillment,,,,,,Ensuring the availability and ease of accessing tangible rewards.
Motivation and Goal-Directed Behavior,Intrinsic Motivation,Goal Setting and Achievement,,,,,,,,,"The influence exerted by society or peers to perform a certain action, which can motivate behavior."
Motivation and Goal-Directed Behavior,Intrinsic Motivation,Goal Setting and Achievement,SMART Goals,,,,,,,,The impact of peers on an individual’s motivations and behaviors.
Motivation and Goal-Directed Behavior,Intrinsic Motivation,Goal Setting and Achievement,Progress Monitoring,,,,,,,,Adjusting behaviors or beliefs to align with peer or societal expectations.
Motivation and Goal-Directed Behavior,Intrinsic Motivation,Goal Setting and Achievement,Progress Monitoring,Feedback Utilization,,,,,,,Aligning one’s actions with a group or social setting.
Motivation and Goal-Directed Behavior,Intrinsic Motivation,Goal Setting and Achievement,Persistence,,,,,,,,The motivation to gain acceptance and approval from peers.
Motivation and Goal-Directed Behavior,Intrinsic Motivation,Goal Setting and Achievement,Persistence,Resilience Building,,,,,,,Striving to be accepted by a group or peer network.
Motivation and Goal-Directed Behavior,Intrinsic Motivation,Goal Setting and Achievement,Persistence,Perseverance Tactics,,,,,,,Adhering to the standards and expectations set by cultural or societal frameworks.
Motivation and Goal-Directed Behavior,Intrinsic Motivation,Goal Setting and Achievement,Persistence,Perseverance Tactics,Stress Management,,,,,,Following long-standing societal practices as motivation.
Motivation and Goal-Directed Behavior,Intrinsic Motivation,Goal Setting and Achievement,Persistence,Perseverance Tactics,Long-Term Commitment,,,,,,Motivation driven by meeting perceived societal roles or expectations.
Self-Concept and Identity,,,,,,,,,,,Involves the development of specific objectives and the motivational components needed to accomplish them.
Self-Concept and Identity,Self-Awareness,,,,,,,,,,"Setting goals that are Specific, Measurable, Achievable, Relevant, and Time-bound."
Self-Concept and Identity,Self-Awareness,Self-Reflection,,,,,,,,,Regularly tracking and reviewing progress towards goal completion.
Self-Concept and Identity,Self-Awareness,Self-Reflection,Mindfulness,,,,,,,,Incorporating feedback to adjust strategies or efforts towards achieving goals.
Self-Concept and Identity,Self-Awareness,Self-Reflection,Mindfulness,Present-Moment Awareness,,,,,,,Continuing effort to achieve goals despite obstacles or difficulties.
Self-Concept and Identity,Self-Awareness,Self-Reflection,Mindfulness,Non-judgmental Observation,,,,,,,Developing the ability to recover from setbacks and continue pursuing goals.
Self-Concept and Identity,Self-Awareness,Self-Reflection,Cognitive Insight,,,,,,,,Strategies used to maintain effort and interest in goals despite challenges.
Self-Concept and Identity,Self-Awareness,Self-Reflection,Cognitive Insight,Cognitive Bias Recognition,,,,,,,Techniques used to cope with and manage stress during goal pursuit.
Self-Concept and Identity,Self-Awareness,Self-Reflection,Cognitive Insight,Cognitive Reappraisal,,,,,,,Reevaluating and changing one's perspective on a situation to alter its emotional impact.
Self-Concept and Identity,Self-Awareness,Emotional Awareness,,,,,,,,,Understanding and recognizing one's own emotions as well as the emotions of others.
Self-Concept and Identity,Self-Awareness,Emotional Awareness,Emotional Differentiation,,,,,,,,Maintaining a sustained focus and effort over an extended period to achieve goals.
Self-Concept and Identity,Self-Awareness,Emotional Awareness,Emotional Differentiation,Emotional Labeling,,,,,,,"Self-concept and identity pertain to the recognition and understanding of oneself in terms of personal attributes, beliefs, and roles in various contexts. This includes self-awareness, self-perception, self-esteem, and the coherence of one's personal identity."
Self-Concept and Identity,Self-Awareness,Emotional Awareness,Emotional Differentiation,Emotional Clarity,,,,,,,"The ability to recognize oneself as an individual separate from the environment and other individuals, including insight into one's own thoughts, feelings, and motivations."
Self-Concept and Identity,Self-Awareness,Emotional Awareness,Emotional Regulation,,,,,,,,The ability to remember phonological details after a delay.
Self-Concept and Identity,Self-Awareness,Emotional Awareness,Emotional Regulation,Emotion Modulation,,,,,,,"The process of introspection and examination of one’s own thoughts, feelings, and behaviors."
Self-Concept and Identity,Self-Awareness,Emotional Awareness,Emotional Regulation,Coping Strategies,,,,,,,"The practice of maintaining an aware, non-judgmental state of mind regarding one's thoughts, emotions, and experiences."
Self-Concept and Identity,Self-Perception,,,,,,,,,,Focusing on the current moment and acknowledging present thoughts and feelings without judgment.
Self-Concept and Identity,Self-Perception,Self-Image,,,,,,,,,Observing thoughts and experiences objectively without labeling them as good or bad.
Self-Concept and Identity,Self-Perception,Self-Image,Body Image,,,,,,,,The ability to understand and correct one's own thinking patterns and biases.
Self-Concept and Identity,Self-Perception,Self-Image,Body Image,Body Satisfaction,,,,,,,Identifying and understanding personal cognitive biases.
Self-Concept and Identity,Self-Perception,Self-Image,Body Image,Body Dysmorphia Awareness,,,,,,,Changing the way one thinks about potentially emotion-eliciting events.
Self-Concept and Identity,Self-Perception,Self-Image,Competence Perception,,,,,,,,Understanding and recognizing one’s own emotions and their effects.
Self-Concept and Identity,Self-Perception,Self-Image,Competence Perception,Perceived Self-Efficacy,,,,,,,The ability to distinguish between different emotional states.
Self-Concept and Identity,Self-Perception,Self-Image,Competence Perception,Skill Confidence,,,,,,,Identifying and naming specific emotions experienced.
Self-Concept and Identity,Self-Perception,Self-Acceptance,,,,,,,,,The ability to clearly know which emotions are being felt and why.
Self-Concept and Identity,Self-Perception,Self-Acceptance,Self-Compassion,,,,,,,,"Strategies used to influence which emotions one has, when one has them, and how one experiences and expresses them."
Self-Concept and Identity,Self-Perception,Self-Acceptance,Self-Compassion,Self-Kindness,,,,,,,Adjusting the intensity of emotional experience and expression.
Self-Concept and Identity,Self-Perception,Self-Acceptance,Self-Compassion,Common Humanity,,,,,,,Methods used to manage emotional responses to stressors.
Self-Concept and Identity,Self-Perception,Self-Acceptance,Authenticity,,,,,,,,"The way one views their own attributes, abilities, and characteristics, encompassing self-image and self-acceptance."
Self-Concept and Identity,Self-Perception,Self-Acceptance,Authenticity,Value Congruence,,,,,,,The mental representation one has of their own appearance and abilities.
Self-Concept and Identity,Self-Perception,Self-Acceptance,Authenticity,True Self-Expression,,,,,,,How one perceives and feels about the aesthetics or sexual attractiveness of their own body.
Self-Concept and Identity,Self-Esteem,,,,,,,,,,The degree to which a person appreciates and is content with their body appearance.
Self-Concept and Identity,Self-Esteem,Global Self-Esteem,,,,,,,,,Recognizing disproportionate or irrational negative perceptions of one's body.
Self-Concept and Identity,Self-Esteem,Global Self-Esteem,Self-Worth,,,,,,,,One's assessment of their ability to perform various tasks.
Self-Concept and Identity,Self-Esteem,Global Self-Esteem,Self-Worth,Self-Valuation,,,,,,,Belief in one's capacity to execute behaviors necessary to produce specific performance attainments.
Self-Concept and Identity,Self-Esteem,Global Self-Esteem,Self-Respect,,,,,,,,Confidence in one's ability to perform specific learned skills.
Self-Concept and Identity,Self-Esteem,Global Self-Esteem,Self-Respect,Personal Dignity,,,,,,,The recognition and acceptance of one’s own attributes and characteristics without undue self-criticism.
Self-Concept and Identity,Self-Esteem,Domain-Specific Self-Esteem,,,,,,,,,Being kind and understanding toward oneself in instances of pain or failure.
Self-Concept and Identity,Self-Esteem,Domain-Specific Self-Esteem,Academic Self-Esteem,,,,,,,,Being warm and understanding toward oneself when encountering pain or failure.
Self-Concept and Identity,Self-Esteem,Domain-Specific Self-Esteem,Academic Self-Esteem,Learning Confidence,,,,,,,Recognizing that suffering and failure are shared human experiences.
Self-Concept and Identity,Self-Esteem,Domain-Specific Self-Esteem,Social Self-Esteem,,,,,,,,"Being true to one’s own personality, values, and spirit, regardless of the pressure to act otherwise."
Self-Concept and Identity,Self-Esteem,Domain-Specific Self-Esteem,Social Self-Esteem,Conversation Skills,,,,,,,The alignment between one's actions and personal values.
Self-Concept and Identity,Identity Coherence,,,,,,,,,,Expressing one's genuine thoughts and feelings without disguise.
Self-Concept and Identity,Identity Coherence,Temporal Stability,,,,,,,,,"The evaluative aspect of the self-concept, where an individual appraises their own worth."
Self-Concept and Identity,Identity Coherence,Temporal Stability,Life Narratives,,,,,,,,Overall value one places on oneself as a person.
Self-Concept and Identity,Identity Coherence,Temporal Stability,Life Narratives,Identity Themes,,,,,,,An innate sense of one's own value as a human being.
Self-Concept and Identity,Identity Coherence,Temporal Stability,Value Consistency,,,,,,,,Affirming one's self-worth and inherent value.
Self-Concept and Identity,Identity Coherence,Temporal Stability,Value Consistency,Core Value Endurance,,,,,,,Holding oneself in esteem and believing that one is deserving of dignity and respect.
Self-Concept and Identity,Identity Coherence,Situational Consistency,,,,,,,,,The quality of being worthy of esteem or respect in one's own eyes.
Self-Concept and Identity,Identity Coherence,Situational Consistency,Role Consistency,,,,,,,,"Self-worth in specific areas of life such as academic, social, or physical aspects."
Self-Concept and Identity,Identity Coherence,Situational Consistency,Role Consistency,Role Integration,,,,,,,How one perceives their own abilities and worth in an academic setting.
Self-Concept and Identity,Identity Coherence,Situational Consistency,Contextual Adaptability,,,,,,,,Selecting language suitable for the social context and audience.
Self-Concept and Identity,Identity Coherence,Situational Consistency,Contextual Adaptability,Identity Flexibility,,,,,,,Belief in one's ability to understand and master academic materials.
