level_1,level_2,level_3,level_4,level_5,level_6,level_7,description
Attention and Perception,Sensory Processing,Auditory Processing,Phonological Processing,Phonemic Awareness,,,"The ability to understand and process spoken, written, or signed language and other forms of communication"
Attention and Perception,Sensory Processing,Auditory Processing,Phonological Processing,Phonological Memory,,,The ability to attend to and process multiple tasks or stimuli simultaneously.
Attention and Perception,Sensory Processing,Auditory Processing,Temporal Processing,,,,The ability to effectively perform two distinct tasks simultaneously.
Attention and Perception,Sensory Processing,Auditory Processing,Temporal Processing,Temporal Resolution,,,The ability to rapidly alternate between two tasks while maintaining performance quality.
Attention and Perception,Sensory Processing,Auditory Processing,Temporal Processing,Temporal Pattern Recognition,,,The ability to effectively distribute cognitive resources between concurrent tasks.
Attention and Perception,Sensory Processing,Tactile Processing,,,,,The ability to process information from different sensory modalities simultaneously.
Attention and Perception,Sensory Processing,Tactile Processing,Tactile Discrimination,,,,The ability to coordinate responses across different sensory modalities.
Attention and Perception,Sensory Processing,Tactile Processing,Tactile Discrimination,Texture Discrimination,,,The ability to efficiently switch attention between different sensory modalities.
Attention and Perception,Sensory Processing,Tactile Processing,Tactile Discrimination,Pressure Sensitivity,,,"The ability to receive, organize, and interpret information from the different sensory systems."
Attention and Perception,Sensory Processing,Tactile Processing,Proprioception,,,,The ability to receive and interpret visual information from the environment.
Attention and Perception,Sensory Processing,Tactile Processing,Proprioception,Joint Position Sense,,,The ability to distinguish between different shapes and forms.
Attention and Perception,Sensory Processing,Tactile Processing,Proprioception,Movement Detection,,,The ability to analyze and identify specific geometric properties and features of shapes.
Attention and Perception,Perceptual Organization,,,,,,"The ability to recognize shapes and forms regardless of changes in size, orientation, or context."
Attention and Perception,Perceptual Organization,Pattern Recognition,,,,,The ability to identify and complete visual or symbolic patterns
Attention and Perception,Perceptual Organization,Pattern Recognition,Visual Pattern Recognition,,,,The ability to perceive and discriminate between different colors.
Attention and Perception,Perceptual Organization,Pattern Recognition,Visual Pattern Recognition,Object Recognition,,,The ability to detect subtle differences between colors.
Attention and Perception,Perceptual Organization,Pattern Recognition,Visual Pattern Recognition,Object Recognition,Object Feature Analysis,,The ability to remember and recognize specific colors over time.
Attention and Perception,Perceptual Organization,Pattern Recognition,Visual Pattern Recognition,Object Recognition,Object Constancy,,The ability to detect and track moving objects.
Attention and Perception,Perceptual Organization,Pattern Recognition,Visual Pattern Recognition,Face Recognition,,,The ability to perceive and estimate the speed of moving objects.
Attention and Perception,Perceptual Organization,Pattern Recognition,Visual Pattern Recognition,Face Recognition,Facial Feature Processing,,The ability to follow and predict the path of moving objects.
Attention and Perception,Perceptual Organization,Pattern Recognition,Visual Pattern Recognition,Face Recognition,Facial Expression Recognition,,The ability to accurately interpret emotional states from others' facial expressions.
Attention and Perception,Perceptual Organization,Pattern Recognition,Auditory Pattern Recognition,,,,The ability to receive and interpret auditory information from the environment.
Attention and Perception,Perceptual Organization,Pattern Recognition,Auditory Pattern Recognition,Melodic Pattern Recognition,,,The ability to process and manipulate speech sounds.
Attention and Perception,Perceptual Organization,Pattern Recognition,Auditory Pattern Recognition,Speech Pattern Recognition,,,The ability to identify and manipulate individual speech sounds.
Attention and Perception,Perceptual Organization,Spatial Perception,,,,,The ability to temporarily store and manipulate speech-based information.
Attention and Perception,Perceptual Organization,Spatial Perception,Depth Perception,,,,The ability to process the timing and sequence of sounds.
Attention and Perception,Perceptual Organization,Spatial Perception,Depth Perception,Binocular Depth Perception,,,The ability to detect small time differences between auditory events.
Attention and Perception,Perceptual Organization,Spatial Perception,Depth Perception,Monocular Depth Perception,,,The ability to recognize and reproduce patterns of sounds over time.
Attention and Perception,Perceptual Organization,Spatial Perception,Spatial Orientation,,,,The ability to receive and interpret touch-based information from the environment.
Attention and Perception,Perceptual Organization,Spatial Perception,Spatial Orientation,Mental Rotation,,,The ability to mentally rotate and manipulate objects in space
Attention and Perception,Perceptual Organization,Spatial Perception,Spatial Orientation,Spatial Navigation,,,The ability to distinguish between different textures and physical properties through touch.
Attention and Perception,Perceptual Organization,Perceptual Integration,,,,,The ability to differentiate between surface textures through touch.
Attention and Perception,Perceptual Organization,Perceptual Integration,Cross-Modal Integration,,,,The ability to detect and discriminate different levels of pressure applied to the skin.
Attention and Perception,Perceptual Organization,Perceptual Integration,Cross-Modal Integration,Audio-Visual Integration,,,The ability to sense the position and movement of body parts.
Attention and Perception,Perceptual Organization,Perceptual Integration,Cross-Modal Integration,Sensorimotor Integration,,,The ability to perceive the position of joints and limbs without visual input.
Attention and Perception,Perceptual Organization,Perceptual Integration,Figure-Ground Perception,,,,The ability to detect and monitor changes in body position and movement.
Attention and Perception,Perceptual Organization,Perceptual Integration,Figure-Ground Perception,Visual Figure-Ground,,,The ability to make sense of and organize sensory information into meaningful patterns and wholes.
Attention and Perception,Perceptual Organization,Perceptual Integration,Figure-Ground Perception,Auditory Figure-Ground,,,The ability to identify and categorize patterns in sensory information.
Adaptive Functioning and Life Skills,,,,,,,The ability to identify and categorize visual patterns and sequences.
Adaptive Functioning and Life Skills,Daily Living Skills,,,,,,The ability to identify and categorize objects based on their visual features.
Adaptive Functioning and Life Skills,Daily Living Skills,Home Management,,,,,The ability to analyze and identify specific features and characteristics of objects.
Adaptive Functioning and Life Skills,Daily Living Skills,Home Management,Cleaning and Organization,,,,"The ability to recognize objects despite changes in viewing angle, lighting, or partial occlusion."
Adaptive Functioning and Life Skills,Daily Living Skills,Home Management,Cleaning and Organization,Surface Cleaning,,,The specialized ability to perceive and recognize faces and facial expressions.
Adaptive Functioning and Life Skills,Daily Living Skills,Home Management,Cleaning and Organization,Waste Management,,,The ability to analyze and identify specific features of faces.
Adaptive Functioning and Life Skills,Daily Living Skills,Home Management,Cleaning and Organization,Space Organization,,,The ability to identify and interpret emotional expressions in faces.
Adaptive Functioning and Life Skills,Daily Living Skills,Home Management,Home Maintenance,,,,The ability to identify and categorize auditory patterns and sequences.
Adaptive Functioning and Life Skills,Daily Living Skills,Home Management,Home Maintenance,Basic Repairs,,,The ability to identify and remember sequences of musical tones and rhythms.
Adaptive Functioning and Life Skills,Daily Living Skills,Home Management,Home Maintenance,Maintenance Scheduling,,,The ability to identify and categorize patterns in speech sounds and prosody.
Adaptive Functioning and Life Skills,Daily Living Skills,Home Management,Home Maintenance,Tool Usage,,,The ability to understand relationships between objects in space and their orientation.
Adaptive Functioning and Life Skills,Daily Living Skills,Home Management,Laundry Management,,,,The ability to perceive and judge distances between objects in three-dimensional space.
Adaptive Functioning and Life Skills,Daily Living Skills,Home Management,Laundry Management,Sorting and Pre-treatment,,,The ability to perceive depth using information from both eyes.
Adaptive Functioning and Life Skills,Daily Living Skills,Home Management,Laundry Management,Washing and Drying,,,The ability to perceive depth using visual cues from a single eye's perspective.
Adaptive Functioning and Life Skills,Daily Living Skills,Home Management,Laundry Management,Folding and Storage,,,The ability to understand the position of objects relative to oneself and to other objects.
Adaptive Functioning and Life Skills,Daily Living Skills,Meal Management,,,,,The ability to mentally manipulate and rotate objects in space.
Adaptive Functioning and Life Skills,Daily Living Skills,Meal Management,Meal Planning,,,,The ability to plan and execute movements through space based on environmental cues.
Adaptive Functioning and Life Skills,Daily Living Skills,Meal Management,Meal Planning,Nutritional Planning,,,The ability to combine different sensory inputs into a coherent whole.
Adaptive Functioning and Life Skills,Daily Living Skills,Meal Management,Meal Planning,Grocery List Creation,,,The ability to combine information from different sensory modalities into a unified perception.
Adaptive Functioning and Life Skills,Daily Living Skills,Meal Management,Meal Planning,Portion Planning,,,The ability to combine and synchronize visual and auditory information.
Adaptive Functioning and Life Skills,Daily Living Skills,Meal Management,Food Preparation,,,,The ability to coordinate sensory input with motor responses.
Adaptive Functioning and Life Skills,Daily Living Skills,Meal Management,Food Preparation,Kitchen Equipment Use,,,The ability to distinguish an object from its surrounding background.
Adaptive Functioning and Life Skills,Daily Living Skills,Meal Management,Food Preparation,Recipe Following,,,The ability to distinguish visual objects from their backgrounds.
Adaptive Functioning and Life Skills,Daily Living Skills,Meal Management,Food Preparation,Food Handling,,,The ability to distinguish relevant sounds from background noise.
Adaptive Functioning and Life Skills,Daily Living Skills,Meal Management,Kitchen Safety and Hygiene,,,,"The ability to effectively manage daily activities, meet environmental demands, and function independently in various life domains"
Adaptive Functioning and Life Skills,Daily Living Skills,Meal Management,Kitchen Safety and Hygiene,Kitchen Sanitation,,,Ability to perform basic and instrumental activities of daily living necessary for age-appropriate independent functioning
Adaptive Functioning and Life Skills,Daily Living Skills,Meal Management,Kitchen Safety and Hygiene,Food Safety Practices,,,"Ability to maintain living space, perform household chores, and manage domestic responsibilities"
Adaptive Functioning and Life Skills,Daily Living Skills,Meal Management,Kitchen Safety and Hygiene,Kitchen Hazard Management,,,Ability to maintain cleanliness and orderliness of living spaces through regular cleaning tasks
Adaptive Functioning and Life Skills,Daily Living Skills,Personal Property Management,,,,,Ability to clean and sanitize various surfaces appropriately
Adaptive Functioning and Life Skills,Daily Living Skills,Personal Property Management,Belongings Organization,,,,Ability to properly dispose of trash and manage recycling
Adaptive Functioning and Life Skills,Daily Living Skills,Personal Property Management,Item Care,,,,Ability to arrange and maintain organized living spaces
Adaptive Functioning and Life Skills,Daily Living Skills,Personal Property Management,Storage Management,,,,Ability to identify and address basic home maintenance needs and repairs
Adaptive Functioning and Life Skills,Community Navigation,,,,,,Ability to perform simple household repairs and maintenance tasks
Adaptive Functioning and Life Skills,Community Navigation,Transportation Use,,,,,Ability to plan and schedule regular home maintenance tasks
Adaptive Functioning and Life Skills,Community Navigation,Transportation Use,Public Transit Navigation,,,,Ability to safely use and maintain basic household tools
Adaptive Functioning and Life Skills,Community Navigation,Transportation Use,Route Planning,,,,"Ability to maintain clean clothing and linens through proper washing, drying, and storage"
Adaptive Functioning and Life Skills,Community Navigation,Transportation Use,Transportation Safety,,,,Ability to sort laundry appropriately and treat stains
Adaptive Functioning and Life Skills,Community Navigation,Resource Utilization,,,,,The ability to employ effective strategies and seek appropriate resources to manage emotional distress and return to baseline functioning.
Adaptive Functioning and Life Skills,Community Navigation,Resource Utilization,Service Location,,,,Ability to operate washing and drying machines effectively
Adaptive Functioning and Life Skills,Community Navigation,Resource Utilization,Resource Management,,,,Ability to properly fold and store clean laundry
Adaptive Functioning and Life Skills,Community Navigation,Resource Utilization,Service Navigation,,,,"Ability to plan, prepare, and manage nutritional needs and meals"
Adaptive Functioning and Life Skills,Community Navigation,Social Navigation,,,,,Ability to plan balanced meals and create shopping lists
Adaptive Functioning and Life Skills,Community Navigation,Social Navigation,Public Space Etiquette,,,,Ability to plan meals that meet nutritional requirements
Adaptive Functioning and Life Skills,Community Navigation,Social Navigation,Social Boundaries,,,,Ability to create comprehensive shopping lists based on meal plans
Adaptive Functioning and Life Skills,Community Navigation,Social Navigation,Community Interaction,,,,Understanding and planning appropriate portion sizes
Adaptive Functioning and Life Skills,Safety Awareness,,,,,,Ability to safely prepare and cook meals using appropriate equipment
Adaptive Functioning and Life Skills,Safety Awareness,Environmental Safety,,,,,Ability to safely operate kitchen appliances and tools
Adaptive Functioning and Life Skills,Safety Awareness,Environmental Safety,Hazard Identification,,,,Ability to understand and follow cooking instructions
Adaptive Functioning and Life Skills,Safety Awareness,Environmental Safety,Preventive Measures,,,,Proper handling and storage of raw and cooked foods
Adaptive Functioning and Life Skills,Safety Awareness,Environmental Safety,Risk Assessment,,,,Understanding and application of food safety and kitchen cleanliness principles
Adaptive Functioning and Life Skills,Safety Awareness,Personal Safety,,,,,Ability to maintain clean and sanitized food preparation areas
Adaptive Functioning and Life Skills,Safety Awareness,Personal Safety,Body Safety,,,,Understanding and implementation of safe food handling procedures
Adaptive Functioning and Life Skills,Safety Awareness,Personal Safety,Stranger Safety,,,,Ability to identify and prevent kitchen-related safety risks
Adaptive Functioning and Life Skills,Safety Awareness,Personal Safety,Online Safety,,,,Ability to maintain and organize personal belongings and living space
Adaptive Functioning and Life Skills,Safety Awareness,Emergency Response,,,,,Ability to organize and maintain order of personal possessions
Adaptive Functioning and Life Skills,Safety Awareness,Emergency Response,Emergency Recognition,,,,Ability to properly maintain and care for personal belongings
Adaptive Functioning and Life Skills,Safety Awareness,Emergency Response,Emergency Protocols,,,,Ability to effectively utilize storage spaces and systems
Adaptive Functioning and Life Skills,Safety Awareness,Emergency Response,Emergency Communication,,,,"Ability to effectively navigate and utilize community resources, transportation, and public spaces"
Adaptive Functioning and Life Skills,Time Management,,,,,,"The ability to estimate time, allocate time appropriately, and meet deadlines"
Adaptive Functioning and Life Skills,Time Management,Planning,,,,,Ability to use various forms of transportation and navigate travel routes
Adaptive Functioning and Life Skills,Time Management,Planning,Schedule Creation,,,,Ability to understand and use public transportation systems
Adaptive Functioning and Life Skills,Time Management,Planning,Activity Scheduling,,,,Ability to plan and follow travel routes to reach destinations
Adaptive Functioning and Life Skills,Time Management,Planning,Schedule Adjustment,,,,Understanding and application of safety rules in various transportation contexts
Adaptive Functioning and Life Skills,Time Management,Punctuality,,,,,Ability to identify and access community services and resources
Adaptive Functioning and Life Skills,Time Management,Punctuality,Time Awareness,,,,Ability to locate and access needed community services
Adaptive Functioning and Life Skills,Time Management,Punctuality,Deadline Management,,,,Ability to effectively use and manage community resources
Adaptive Functioning and Life Skills,Time Management,Punctuality,Timeliness,,,,Understanding how to interact with various community services
Adaptive Functioning and Life Skills,Time Management,Activity Prioritization,,,,,Ability to navigate social situations and public spaces appropriately
Adaptive Functioning and Life Skills,Time Management,Activity Prioritization,Task Assessment,,,,Understanding and following social norms in public settings
Adaptive Functioning and Life Skills,Time Management,Activity Prioritization,Workload Management,,,,Recognition and respect of personal and social boundaries in public
Adaptive Functioning and Life Skills,Time Management,Activity Prioritization,Decision Making,,,,Ability to interact appropriately with community members and service providers
Adaptive Functioning and Life Skills,Financial Management,,,,,,Understanding and application of safety principles and risk assessment in various environments
Adaptive Functioning and Life Skills,Financial Management,Money Handling,,,,,Recognition and management of environmental hazards and risks
Adaptive Functioning and Life Skills,Financial Management,Money Handling,Currency Recognition,,,,Ability to recognize potential environmental dangers and risks
Adaptive Functioning and Life Skills,Financial Management,Money Handling,Transaction Processing,,,,Understanding and implementation of safety precautions
Adaptive Functioning and Life Skills,Financial Management,Money Handling,Change Calculation,,,,Ability to evaluate potential risks in various environments
Adaptive Functioning and Life Skills,Financial Management,Budgeting,,,,,Understanding and maintaining personal security and well-being
Adaptive Functioning and Life Skills,Financial Management,Budgeting,Income Management,,,,Understanding of personal boundaries and body safety principles
Adaptive Functioning and Life Skills,Financial Management,Budgeting,Expense Tracking,,,,Understanding appropriate interactions with unknown individuals
Adaptive Functioning and Life Skills,Financial Management,Budgeting,Budget Creation,,,,Understanding and application of safe internet and digital media use
Adaptive Functioning and Life Skills,Financial Management,Financial Planning,,,,,Knowledge and ability to respond appropriately in emergency situations
Adaptive Functioning and Life Skills,Financial Management,Financial Planning,Savings Management,,,,Ability to identify emergency situations
Adaptive Functioning and Life Skills,Financial Management,Financial Planning,Financial Goal Setting,,,,Knowledge of appropriate steps to take in various emergencies
Adaptive Functioning and Life Skills,Financial Management,Financial Planning,Financial Decision Making,,,,Ability to effectively communicate during emergency situations
Adaptive Functioning and Life Skills,Self-Care,,,,,,"Ability to organize, plan, and manage time effectively for various activities and responsibilities"
Adaptive Functioning and Life Skills,Self-Care,Personal Hygiene,,,,,Ability to create and follow schedules and organize activities
Adaptive Functioning and Life Skills,Self-Care,Personal Hygiene,Grooming,,,,Ability to create realistic and manageable schedules
Adaptive Functioning and Life Skills,Self-Care,Personal Hygiene,Grooming,Hair Care,,,Ability to allocate appropriate time for different activities
Adaptive Functioning and Life Skills,Self-Care,Personal Hygiene,Grooming,Dental Hygiene,,,Ability to modify plans when circumstances change
Adaptive Functioning and Life Skills,Self-Care,Personal Hygiene,Grooming,Body Care,,,Ability to meet time commitments and deadlines
Adaptive Functioning and Life Skills,Self-Care,Personal Hygiene,Hygiene Routines,,,,Understanding of time passage and duration
Adaptive Functioning and Life Skills,Self-Care,Personal Hygiene,Hygiene Routines,Morning Routine,,,Ability to complete tasks within given timeframes
Adaptive Functioning and Life Skills,Self-Care,Personal Hygiene,Hygiene Routines,Evening Routine,,,Ability to arrive and complete activities at designated times
Adaptive Functioning and Life Skills,Self-Care,Personal Hygiene,Hygiene Routines,As-Needed Hygiene,,,Ability to prioritize tasks and manage multiple responsibilities
Adaptive Functioning and Life Skills,Self-Care,Personal Hygiene,Clothing Care,,,,Ability to evaluate importance and urgency of tasks
Adaptive Functioning and Life Skills,Self-Care,Health Management,,,,,Ability to balance multiple tasks and responsibilities
Adaptive Functioning and Life Skills,Self-Care,Health Management,Medication Management,,,,Ability to make effective choices about task order and importance
Adaptive Functioning and Life Skills,Self-Care,Health Management,Medication Management,Medication Scheduling,,,"Understanding and managing personal finances, budgeting, and making appropriate financial decisions"
Adaptive Functioning and Life Skills,Self-Care,Health Management,Medication Management,Medication Organization,,,Basic understanding of currency and ability to handle monetary transactions
Adaptive Functioning and Life Skills,Self-Care,Health Management,Medication Management,Prescription Management,,,Understanding of different denominations and their values
Adaptive Functioning and Life Skills,Self-Care,Health Management,Healthcare Navigation,,,,Ability to complete basic monetary exchanges accurately
Adaptive Functioning and Life Skills,Self-Care,Health Management,Healthcare Navigation,Appointment Management,,,Ability to calculate and verify correct change in transactions
Adaptive Functioning and Life Skills,Self-Care,Health Management,Healthcare Navigation,Provider Communication,,,Ability to plan and track income and expenses
Adaptive Functioning and Life Skills,Self-Care,Health Management,Healthcare Navigation,Health Record Management,,,Understanding and tracking of income sources
Adaptive Functioning and Life Skills,Self-Care,Health Management,Wellness Maintenance,,,,Ability to monitor and record spending
Adaptive Functioning and Life Skills,Self-Care,Health Management,Wellness Maintenance,Preventive Care,,,Ability to create and maintain a realistic budget
Adaptive Functioning and Life Skills,Self-Care,Health Management,Wellness Maintenance,Symptom Recognition,,,Understanding of long-term financial concepts and planning
Adaptive Functioning and Life Skills,Self-Care,Health Management,Wellness Maintenance,Health Education,,,Understanding and implementation of saving strategies
Adaptive Functioning and Life Skills,Self-Care,Self-Maintenance,,,,,Ability to set and work toward financial goals
Adaptive Functioning and Life Skills,Self-Care,Self-Maintenance,Sleep Management,,,,Ability to make informed choices about financial matters
Adaptive Functioning and Life Skills,Self-Care,Self-Maintenance,Sleep Management,Sleep Schedule,,,"Ability to maintain personal hygiene, health management, and basic self-maintenance activities"
Adaptive Functioning and Life Skills,Self-Care,Self-Maintenance,Sleep Management,Sleep Environment,,,Ability to maintain appropriate cleanliness and grooming
Adaptive Functioning and Life Skills,Self-Care,Self-Maintenance,Sleep Management,Sleep Hygiene,,,Ability to maintain appropriate personal appearance
Adaptive Functioning and Life Skills,Self-Care,Self-Maintenance,Nutrition Management,,,,Ability to maintain clean and neat hair appearance
Adaptive Functioning and Life Skills,Self-Care,Self-Maintenance,Nutrition Management,Dietary Balance,,,Ability to maintain proper oral hygiene
Adaptive Functioning and Life Skills,Self-Care,Self-Maintenance,Nutrition Management,Hydration,,,Ability to maintain proper body cleanliness and grooming
Adaptive Functioning and Life Skills,Self-Care,Self-Maintenance,Nutrition Management,Dietary Restrictions,,,Ability to perform regular hygiene practices
Adaptive Functioning and Life Skills,Self-Care,Self-Maintenance,Physical Activity,,,,Ability to complete morning hygiene tasks effectively
Adaptive Functioning and Life Skills,Self-Care,Self-Maintenance,Physical Activity,Exercise Planning,,,Ability to complete evening hygiene tasks effectively
Adaptive Functioning and Life Skills,Self-Care,Self-Maintenance,Physical Activity,Activity Level,,,Ability to maintain hygiene throughout the day as needed
Adaptive Functioning and Life Skills,Self-Care,Self-Maintenance,Physical Activity,Exercise Safety,,,Ability to maintain clean and appropriate clothing
Motivation and Goal-Directed Behavior,,,,,,,Ability to manage personal health needs and medical care
Motivation and Goal-Directed Behavior,Intrinsic Motivation,,,,,,Ability to handle prescribed medications appropriately
Motivation and Goal-Directed Behavior,Intrinsic Motivation,Interest-Based Engagement,,,,,Ability to take medications at prescribed times
Motivation and Goal-Directed Behavior,Intrinsic Motivation,Interest-Based Engagement,Activity Selection,,,,Ability to properly store and organize medications
Motivation and Goal-Directed Behavior,Intrinsic Motivation,Interest-Based Engagement,Activity Selection,Interest Recognition,,,Ability to maintain and refill prescriptions as needed
Motivation and Goal-Directed Behavior,Intrinsic Motivation,Interest-Based Engagement,Activity Selection,Value Alignment,,,Ability to access and utilize healthcare services
Motivation and Goal-Directed Behavior,Intrinsic Motivation,Interest-Based Engagement,Sustained Interest,,,,Ability to schedule and keep medical appointments
Motivation and Goal-Directed Behavior,Intrinsic Motivation,Interest-Based Engagement,Sustained Interest,Engagement Duration,,,Ability to communicate effectively with healthcare providers
Motivation and Goal-Directed Behavior,Intrinsic Motivation,Interest-Based Engagement,Sustained Interest,Interest Renewal,,,Ability to maintain and access personal health records
Motivation and Goal-Directed Behavior,Intrinsic Motivation,Interest-Based Engagement,Curiosity Expression,,,,Understanding and practice of preventive health measures
Motivation and Goal-Directed Behavior,Intrinsic Motivation,Interest-Based Engagement,Curiosity Expression,Information Seeking,,,Understanding and following recommended preventive health practices
Motivation and Goal-Directed Behavior,Intrinsic Motivation,Interest-Based Engagement,Curiosity Expression,Information Seeking,Question Formation,,Ability to identify and respond to health changes or concerns
Motivation and Goal-Directed Behavior,Intrinsic Motivation,Interest-Based Engagement,Curiosity Expression,Information Seeking,Resource Utilization,,The ability to employ effective strategies and seek appropriate resources to manage emotional distress and return to baseline functioning.
Motivation and Goal-Directed Behavior,Intrinsic Motivation,Interest-Based Engagement,Curiosity Expression,Exploratory Behavior,,,Understanding and application of health-related information
Motivation and Goal-Directed Behavior,Intrinsic Motivation,Interest-Based Engagement,Curiosity Expression,Exploratory Behavior,Novel Approach Testing,,Ability to maintain personal well-being through daily care activities
Motivation and Goal-Directed Behavior,Intrinsic Motivation,Interest-Based Engagement,Curiosity Expression,Exploratory Behavior,Discovery Initiative,,Ability to maintain appropriate sleep patterns
Motivation and Goal-Directed Behavior,Intrinsic Motivation,Mastery Orientation,,,,,Ability to maintain consistent sleep and wake times
Motivation and Goal-Directed Behavior,Intrinsic Motivation,Mastery Orientation,Challenge Seeking,,,,Ability to create and maintain appropriate sleep conditions
Motivation and Goal-Directed Behavior,Intrinsic Motivation,Mastery Orientation,Challenge Seeking,Difficulty Level Selection,,,Understanding and practice of habits that promote good sleep
Motivation and Goal-Directed Behavior,Intrinsic Motivation,Mastery Orientation,Challenge Seeking,Growth Opportunity Recognition,,,Understanding and maintaining proper nutrition
Motivation and Goal-Directed Behavior,Intrinsic Motivation,Mastery Orientation,Skill Development Focus,,,,Understanding and maintaining balanced nutrition intake
Motivation and Goal-Directed Behavior,Intrinsic Motivation,Mastery Orientation,Skill Development Focus,Practice Commitment,,,Maintaining appropriate fluid intake throughout the day
Motivation and Goal-Directed Behavior,Intrinsic Motivation,Mastery Orientation,Skill Development Focus,Learning Strategy Application,,,Managing specific dietary needs or restrictions
Motivation and Goal-Directed Behavior,Intrinsic Motivation,Mastery Orientation,Growth Mindset,,,,Engagement in appropriate physical activity and exercise
Motivation and Goal-Directed Behavior,Intrinsic Motivation,Mastery Orientation,Growth Mindset,Effort Attribution,,,Ability to plan and maintain regular exercise routine
Motivation and Goal-Directed Behavior,Intrinsic Motivation,Mastery Orientation,Growth Mindset,Learning from Failure,,,Maintaining appropriate daily physical activity levels
Motivation and Goal-Directed Behavior,Intrinsic Motivation,Autonomy Drive,,,,,Understanding and following safe exercise practices
Motivation and Goal-Directed Behavior,Intrinsic Motivation,Autonomy Drive,Independent Decision Making,,,,"The ability to initiate and sustain goal-directed behavior, including the drive to engage in activities and the capacity to work toward both short-term and long-term objectives."
Motivation and Goal-Directed Behavior,Intrinsic Motivation,Autonomy Drive,Independent Decision Making,Decision Initiative,,,"The natural drive to engage in activities for their inherent satisfaction, personal interest, and enjoyment rather than external rewards."
Motivation and Goal-Directed Behavior,Intrinsic Motivation,Autonomy Drive,Independent Decision Making,Choice Confidence,,,"The tendency to pursue activities based on personal interests, curiosity, and genuine enjoyment of the activity itself."
Motivation and Goal-Directed Behavior,Intrinsic Motivation,Autonomy Drive,Self-Direction,,,,The ability to identify and choose activities that align with personal interests and values.
Motivation and Goal-Directed Behavior,Intrinsic Motivation,Autonomy Drive,Self-Direction,Activity Planning,,,The ability to identify and articulate personal interests and preferences.
Motivation and Goal-Directed Behavior,Intrinsic Motivation,Autonomy Drive,Self-Direction,Progress Self-Assessment,,,The capacity to evaluate activities based on their consistency with personal values and principles.
Motivation and Goal-Directed Behavior,Intrinsic Motivation,Autonomy Drive,Personal Agency,,,,The capacity to maintain engagement and enthusiasm in activities over time.
Motivation and Goal-Directed Behavior,Intrinsic Motivation,Autonomy Drive,Personal Agency,Control Belief,,,The length of time one can maintain active involvement in an interest-based activity.
Motivation and Goal-Directed Behavior,Intrinsic Motivation,Autonomy Drive,Personal Agency,Responsibility Acceptance,,,The ability to maintain or rekinddle enthusiasm for activities through finding new aspects or challenges.
Motivation and Goal-Directed Behavior,Extrinsic Motivation,,,,,,"The tendency to explore, ask questions, and seek new experiences in areas of interest."
Motivation and Goal-Directed Behavior,Extrinsic Motivation,Reward Responsiveness,,,,,The drive to gather knowledge and understanding about topics of interest.
Motivation and Goal-Directed Behavior,Extrinsic Motivation,Reward Responsiveness,Immediate Reward Processing,,,,The ability to formulate relevant questions to gain deeper understanding.
Motivation and Goal-Directed Behavior,Extrinsic Motivation,Reward Responsiveness,Delayed Reward Processing,,,,The capacity to identify and use appropriate resources for learning.
Motivation and Goal-Directed Behavior,Extrinsic Motivation,Reward Responsiveness,Reward Value Assessment,,,,The tendency to actively investigate and experiment within areas of interest.
Motivation and Goal-Directed Behavior,Extrinsic Motivation,Social Motivation,,,,,The ability to address and resolve relationship challenges while maintaining the relationship
Motivation and Goal-Directed Behavior,Extrinsic Motivation,Social Motivation,Social Recognition Seeking,,,,The willingness to try different methods or strategies in pursuit of understanding.
Motivation and Goal-Directed Behavior,Extrinsic Motivation,Social Motivation,Social Recognition Seeking,Praise Responsiveness,,,The proactive pursuit of new aspects or applications within areas of interest.
Motivation and Goal-Directed Behavior,Extrinsic Motivation,Social Motivation,Social Recognition Seeking,Status Seeking,,,"The desire to develop competence, improve skills, and achieve personal growth through learning and challenge."
Motivation and Goal-Directed Behavior,Extrinsic Motivation,Social Motivation,Peer Influence Response,,,,The inclination to pursue activities that provide appropriate levels of difficulty and opportunities for growth.
Motivation and Goal-Directed Behavior,Extrinsic Motivation,Social Motivation,Peer Influence Response,Conformity Tendency,,,The ability to choose tasks that are appropriately challenging relative to current skill level.
Motivation and Goal-Directed Behavior,Extrinsic Motivation,Social Motivation,Peer Influence Response,Social Pressure Response,,,The capacity to identify learning opportunities within challenging situations.
Motivation and Goal-Directed Behavior,Extrinsic Motivation,Social Motivation,Authority Response,,,,The drive to improve abilities and acquire new competencies through practice and learning.
Motivation and Goal-Directed Behavior,Extrinsic Motivation,Social Motivation,Authority Response,Compliance Tendency,,,The willingness to engage in repeated practice to develop skills.
Motivation and Goal-Directed Behavior,Extrinsic Motivation,Social Motivation,Authority Response,Authority-Based Motivation,,,The ability to implement effective approaches for skill acquisition.
Motivation and Goal-Directed Behavior,Extrinsic Motivation,Consequence Awareness,,,,,"The belief that abilities can be developed through effort, learning, and persistence."
Motivation and Goal-Directed Behavior,Extrinsic Motivation,Consequence Awareness,Risk Assessment,,,,Understanding and application of food safety and kitchen cleanliness principles
Motivation and Goal-Directed Behavior,Extrinsic Motivation,Consequence Awareness,Benefit Analysis,,,,The tendency to attribute success and improvement to effort rather than fixed ability.
Motivation and Goal-Directed Behavior,Extrinsic Motivation,Consequence Awareness,Future Impact Recognition,,,,The capacity to view failures as opportunities for growth and learning.
Motivation and Goal-Directed Behavior,Goal Setting,,,,,,The ability to establish clear and achievable objectives
