level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,level_9,description
Adaptive Functioning and Life Skills,Social Skills,Interpersonal Skills,Cooperation Skills,Teamwork Skills,Feedback Reception Skills,,,,Abilities to manage cash transactions accurately and efficiently.,
Adaptive Functioning and Life Skills,Social Skills,Interpersonal Skills,Cooperation Skills,Compromise Skills,,,,,Skills to utilize online banking features for financial management.,
Adaptive Functioning and Life Skills,Social Skills,Interpersonal Skills,Cooperation Skills,Compromise Skills,Mediated Solution Skills,,,,Skills related to maintaining personal health and ensuring safety in various environments.,
Adaptive Functioning and Life Skills,Social Skills,Social Problem-Solving Skills,,,,,,,"Abilities involved in understanding and managing personal health needs, including medical appointments and medication.",
Adaptive Functioning and Life Skills,Social Skills,Social Problem-Solving Skills,Conflict Resolution Skills,,,,,,Skills to correctly follow medication schedules and dosages.,
Adaptive Functioning and Life Skills,Social Skills,Social Problem-Solving Skills,Conflict Resolution Skills,Mediation Skills,,,,,Understanding labels and instructions on prescribed medications.,
Adaptive Functioning and Life Skills,Social Skills,Social Problem-Solving Skills,Conflict Resolution Skills,Mediation Skills,Neutral Facilitation Skills,,,,Abilities to schedule and attend medical appointments independently.,
Adaptive Functioning and Life Skills,Social Skills,Social Problem-Solving Skills,Conflict Resolution Skills,De-escalation Skills,,,,,Skills to find and understand healthcare services available.,
Adaptive Functioning and Life Skills,Social Skills,Social Problem-Solving Skills,Conflict Resolution Skills,De-escalation Skills,Non-Confrontational Communication Skills,,,,Skills related to recognizing hazards and understanding how to respond appropriately to ensure personal safety.,
Adaptive Functioning and Life Skills,Social Skills,Social Problem-Solving Skills,Negotiation Skills,,,,,,Abilities to identify and respond to emergencies effectively.,
Adaptive Functioning and Life Skills,Social Skills,Social Problem-Solving Skills,Negotiation Skills,Persuasion Skills,,,,,Basic abilities to administer first aid during emergencies.,
Adaptive Functioning and Life Skills,Social Skills,Social Problem-Solving Skills,Negotiation Skills,Persuasion Skills,Argument Construction Skills,,,,Skills related to maintaining personal security and awareness in various environments.,
Adaptive Functioning and Life Skills,Social Skills,Social Problem-Solving Skills,Negotiation Skills,Consensus-Building Skills,,,,,Abilities to be aware of surroundings to prevent potential threats.,
Adaptive Functioning and Life Skills,Social Skills,Social Problem-Solving Skills,Negotiation Skills,Consensus-Building Skills,Agreement Drafting Skills,,,,Skills that enable an individual to interact and communicate with others effectively.,
Adaptive Functioning and Life Skills,Communication Skills,,,,,,,,Abilities necessary for building and maintaining personal relationships.,
Adaptive Functioning and Life Skills,Communication Skills,Expressive Communication Skills,,,,,,,Skills that involve understanding and sharing the feelings of others.,
Adaptive Functioning and Life Skills,Communication Skills,Expressive Communication Skills,Verbal Communication Skills,,,,,,Abilities to give full attention to speakers and comprehend the provided information.,
Adaptive Functioning and Life Skills,Communication Skills,Expressive Communication Skills,Verbal Communication Skills,Articulation Skills,,,,,Skills to restate or summarize information for clarity.,
Adaptive Functioning and Life Skills,Communication Skills,Expressive Communication Skills,Verbal Communication Skills,Articulation Skills,Phonemic Skills,,,,Skills to identify emotions in others through verbal and non-verbal cues.,
Adaptive Functioning and Life Skills,Communication Skills,Expressive Communication Skills,Verbal Communication Skills,Vocabulary Usage Skills,,,,,Abilities to read and interpret facial expressions accurately.,
Adaptive Functioning and Life Skills,Communication Skills,Expressive Communication Skills,Verbal Communication Skills,Vocabulary Usage Skills,Contextual Vocabulary Skills,,,,Abilities to work collaboratively with others in a group or team.,
Adaptive Functioning and Life Skills,Communication Skills,Receptive Communication Skills,,,,,,,"Skills necessary for effective collaboration within a group, including giving and receiving feedback.",
Adaptive Functioning and Life Skills,Communication Skills,Receptive Communication Skills,Listening Skills,,,,,,Understanding and making sense of spoken language.,
Adaptive Functioning and Life Skills,Communication Skills,Receptive Communication Skills,Listening Skills,Note-Taking Skills,,,,,Abilities to receive and incorporate feedback constructively.,
Adaptive Functioning and Life Skills,Communication Skills,Receptive Communication Skills,Listening Skills,Note-Taking Skills,Organized Notation Skills,,,,Abilities to find middle ground solutions that satisfy different parties in collaboration.,
Adaptive Functioning and Life Skills,Communication Skills,Receptive Communication Skills,Listening Skills,Questioning Skills,,,,,Skills to facilitate structured problem solving in group settings.,
Adaptive Functioning and Life Skills,Communication Skills,Receptive Communication Skills,Listening Skills,Questioning Skills,Probing Questions,,,,Skills involving the ability to navigate social situations and resolve conflicts effectively.,
Adaptive Functioning and Life Skills,Communication Skills,Receptive Communication Skills,Comprehension Skills,,,,,,Abilities to manage and resolve interpersonal conflicts in a constructive manner.,
Adaptive Functioning and Life Skills,Communication Skills,Receptive Communication Skills,Comprehension Skills,Reading Comprehension Skills,,,,,Skills to facilitate discussions between parties to resolve disputes effectively.,
Adaptive Functioning and Life Skills,Communication Skills,Receptive Communication Skills,Comprehension Skills,Reading Comprehension Skills,Critical Reading Skills,,,,Abilities to guide conflict resolution impartially.,
Adaptive Functioning and Life Skills,Communication Skills,Pragmatic Communication Skills,,,,,,,Abilities to calm tense situations before they become conflicts.,
Adaptive Functioning and Life Skills,Communication Skills,Pragmatic Communication Skills,Contextual Language Skills,,,,,,Skills to communicate effectively in high-tension scenarios.,
Adaptive Functioning and Life Skills,Communication Skills,Pragmatic Communication Skills,Contextual Language Skills,Formal Language Skills,,,,,Skills related to reaching mutually beneficial agreements through discussion and compromise.,
Adaptive Functioning and Life Skills,Communication Skills,Pragmatic Communication Skills,Contextual Language Skills,Formal Language Skills,Etiquette in Formal Communication,,,,Abilities to influence others' attitudes or behaviors towards a desired outcome.,
Adaptive Functioning and Life Skills,Communication Skills,Pragmatic Communication Skills,Conversation Skills,,,,,,Skills to develop logical and compelling arguments.,
Adaptive Functioning and Life Skills,Communication Skills,Pragmatic Communication Skills,Conversation Skills,Turn-Taking Skills,,,,,Skills to develop agreements among group members collaboratively.,
Adaptive Functioning and Life Skills,Communication Skills,Pragmatic Communication Skills,Conversation Skills,Turn-Taking Skills,Queue Management in Dialogue,,,,Abilities to formalize consensus decisions in writing.,
Motivation and Goal-Directed Behavior,,,,,,,,,"Skills involved in understanding and expressing information, forming and maintaining relationships, and engaging in social dynamics.",
Motivation and Goal-Directed Behavior,Intrinsic Motivation,,,,,,,,"Abilities related to conveying thoughts, ideas, and feelings to others.",
Motivation and Goal-Directed Behavior,Intrinsic Motivation,Curiosity,,,,,,,Skills involved in effectively using spoken language for communication.,
Motivation and Goal-Directed Behavior,Intrinsic Motivation,Curiosity,Exploratory Behavior,,,,,,Abilities to pronounce words clearly and correctly.,
Motivation and Goal-Directed Behavior,Intrinsic Motivation,Curiosity,Exploratory Behavior,Directed Exploration,,,,,Understanding of phonemes to improve pronunciation.,
Motivation and Goal-Directed Behavior,Intrinsic Motivation,Curiosity,Exploratory Behavior,Undirected Exploration,,,,,Skills to use appropriate and varied vocabulary based on context.,
Motivation and Goal-Directed Behavior,Intrinsic Motivation,Interest,,,,,,,Abilities to select words according to social setting and audience.,
Motivation and Goal-Directed Behavior,Intrinsic Motivation,Interest,Maintenance of Interest,,,,,,Skills involved in understanding and processing information from others.,
Motivation and Goal-Directed Behavior,Intrinsic Motivation,Interest,Maintenance of Interest,Deep Engagement,,,,,Abilities to actively and effectively listen to others.,
Motivation and Goal-Directed Behavior,Intrinsic Motivation,Interest,Maintenance of Interest,Sustained Attention,,,,,The ability to maintain attention and focus on continuous or repetitive tasks over a period of time.,
Motivation and Goal-Directed Behavior,Extrinsic Motivation,,,,,,,,Abilities to record important information for later review.,
Motivation and Goal-Directed Behavior,Extrinsic Motivation,Incentive-Based Motivation,,,,,,,Skills to structure notes for maximum utility and ease of use.,
Motivation and Goal-Directed Behavior,Extrinsic Motivation,Incentive-Based Motivation,Performance Contingent Rewards,,,,,,Skills to ask clarifying questions to enhance understanding.,
Motivation and Goal-Directed Behavior,Extrinsic Motivation,Incentive-Based Motivation,Performance Contingent Rewards,Standard-Based Rewards,,,,,"Skills to ask deep, insightful questions for comprehensive understanding.",
Motivation and Goal-Directed Behavior,Extrinsic Motivation,Incentive-Based Motivation,Task Contingent Rewards,,,,,,Skills related to understanding spoken and written communication.,
Motivation and Goal-Directed Behavior,Extrinsic Motivation,Incentive-Based Motivation,Task Contingent Rewards,Completion-Based Incentives,,,,,Abilities to understand and interpret written texts.,
Motivation and Goal-Directed Behavior,Extrinsic Motivation,Avoidance Motivation,,,,,,,Skills to analyze texts beyond surface meaning.,
Motivation and Goal-Directed Behavior,Extrinsic Motivation,Avoidance Motivation,Fear of Failure,,,,,,"Skills pertaining to the use of language in social contexts, including understanding social cues and norms.",
Motivation and Goal-Directed Behavior,Extrinsic Motivation,Avoidance Motivation,Fear of Failure,Anxiety Management,,,,,Abilities to adapt language use according to different social settings and contexts.,
Motivation and Goal-Directed Behavior,Extrinsic Motivation,Avoidance Motivation,Fear of Failure,Anxiety Management,Cognitive Reappraisal,,,,Skills to use language appropriately in formal situations.,
Motivation and Goal-Directed Behavior,Extrinsic Motivation,Avoidance Motivation,Fear of Failure,Anxiety Management,Stress Reduction Techniques,,,,Understanding norms and polite exchanges in formal settings.,
Motivation and Goal-Directed Behavior,Extrinsic Motivation,Avoidance Motivation,Threat Avoidance,,,,,,Skills involved in engaging in effective and meaningful exchanges with others.,
Motivation and Goal-Directed Behavior,Extrinsic Motivation,Avoidance Motivation,Threat Avoidance,Risk Assessment,,,,,"Abilities to maintain balance in conversations, ensuring each party has a chance to speak.",
Motivation and Goal-Directed Behavior,Extrinsic Motivation,Avoidance Motivation,Threat Avoidance,Risk Assessment,Consequence Analysis,,,,Skills to manage conversational pacing and sequence.,
Motivation and Goal-Directed Behavior,Goal Setting,,,,,,,,,
Motivation and Goal-Directed Behavior,Goal Setting,Short-Term Goals,,,,,,,The internal drive to perform an activity for its inherent satisfaction and pleasure.,
Motivation and Goal-Directed Behavior,Goal Setting,Short-Term Goals,Daily Goals,,,,,,Desire to learn or know about something without external incentives.,
Motivation and Goal-Directed Behavior,Goal Setting,Short-Term Goals,Daily Goals,Routine Tasks,,,,,Active engagement in exploring new ideas or environments.,
Motivation and Goal-Directed Behavior,Goal Setting,Short-Term Goals,Daily Goals,Routine Tasks,Discrete Actions,,,,Purposeful seeking of information or experiences related to personal interests.,
Motivation and Goal-Directed Behavior,Goal Setting,Short-Term Goals,Weekly Goals,,,,,,Spontaneous or random engagement with new ideas or environments without a specific focus.,
Motivation and Goal-Directed Behavior,Goal Setting,Short-Term Goals,Weekly Goals,Progress Benchmarks,,,,,Engagement in an activity because it is enjoyable and satisfying.,
Motivation and Goal-Directed Behavior,Goal Setting,Short-Term Goals,Weekly Goals,Progress Benchmarks,Task Progress Monitoring,,,,Ability to sustain engagement in activities over time without external rewards.,
Motivation and Goal-Directed Behavior,Goal Setting,Long-Term Goals,,,,,,,Intense and focused involvement in an activity.,
Motivation and Goal-Directed Behavior,Goal Setting,Long-Term Goals,Life Goals,,,,,,Continuous focus on an activity over extended periods.,
Motivation and Goal-Directed Behavior,Goal Setting,Long-Term Goals,Life Goals,Personal Development Goals,,,,,The drive to perform activities due to external rewards or pressures.,
Motivation and Goal-Directed Behavior,Goal Setting,Long-Term Goals,Life Goals,Personal Development Goals,Skill Mastery Goals,,,,"Motivation derived from tangible rewards such as money, grades, or praise.",
Motivation and Goal-Directed Behavior,Persistence,,,,,,,,The correctness of spelling in written communication.,
Motivation and Goal-Directed Behavior,Persistence,Resilience,,,,,,,Rewards based on achieving a certain level of performance.,
Motivation and Goal-Directed Behavior,Persistence,Resilience,Adaptability,,,,,,Rewards contingent upon meeting pre-set standards or criteria.,
Motivation and Goal-Directed Behavior,Persistence,Resilience,Adaptability,Cognitive Flexibility,,,,,The ability to switch between thinking about two different concepts and to think about multiple concepts simultaneously.,
Motivation and Goal-Directed Behavior,Persistence,Resilience,Adaptability,Cognitive Flexibility,Perspective Taking,,,,"The capacity to understand or feel what another person is experiencing from within their frame of reference, that is, the capacity to place oneself in another's position.",
Motivation and Goal-Directed Behavior,Persistence,Resilience,Patience,,,,,,"Rewards given for completing a task, regardless of performance quality.",
Motivation and Goal-Directed Behavior,Persistence,Resilience,Patience,Delayed Gratification,,,,,"Rewards granted upon the completion of a task, motivating task completion regardless of performance quality.",
Motivation and Goal-Directed Behavior,Persistence,Resilience,Patience,Delayed Gratification,Result-Oriented Delaying,,,,Motivation driven by the desire to avoid negative outcomes or punishment.,
Motivation and Goal-Directed Behavior,Persistence,Grit,,,,,,,Motivation driven by anxiety about not succeeding or achieving a standard.,
Motivation and Goal-Directed Behavior,Persistence,Grit,Tenacity,,,,,,Techniques or strategies used to reduce anxiety associated with possible failure.,
Motivation and Goal-Directed Behavior,Persistence,Grit,Tenacity,Problem Solving Persistence,,,,,The process of changing the way one thinks about a potentially anxiety-inducing situation to alter its emotional impact.,
Motivation and Goal-Directed Behavior,Persistence,Consistency of Interest,,,,,,,"Methods to minimize stress response, aiding in maintaining motivation devoid of punitive anxiety.",
Motivation and Goal-Directed Behavior,Persistence,Consistency of Interest,Long-Term Engagement,,,,,,Efforts to avoid situations perceived as threatening or harmful.,
Motivation and Goal-Directed Behavior,Persistence,Consistency of Interest,Long-Term Engagement,Goal Alignment,,,,,Evaluating potential threats to determine appropriate avoidance strategies.,
Motivation and Goal-Directed Behavior,Self-Regulation,,,,,,,,Weighing the potential outcomes of a risk to guide decision-making in avoidance behavior.,
Motivation and Goal-Directed Behavior,Self-Regulation,Emotional Regulation,,,,,,,The process of identifying something that you want to accomplish and establishing measurable objectives and timeframes.,
Motivation and Goal-Directed Behavior,Self-Regulation,Emotional Regulation,Emotional Awareness,,,,,,The ability to recognize and understand one's own emotions as well as the emotions of others. This includes recognizing emotional expressions and understanding emotional triggers.,
Motivation and Goal-Directed Behavior,Self-Regulation,Emotional Regulation,Emotional Awareness,Reflective Awareness,,,,,"Goals set to be achieved in the near future, promoting immediate progress.",
Motivation and Goal-Directed Behavior,Self-Regulation,Emotional Modulation,,,,,,,Creating effective timelines and personal deadlines.,
Motivation and Goal-Directed Behavior,Self-Regulation,Emotional Modulation,Emotional Intensity Adjustment,,,,,,Targets set to be achieved on a daily basis.,
Motivation and Goal-Directed Behavior,Self-Regulation,Emotional Modulation,Emotional Intensity Adjustment,Emotional Channeling,,,,,"Repeated, daily tasks that contribute to achieving a larger goal.",
Motivation and Goal-Directed Behavior,Behavioral Regulation,,,,,,,,"Specific, individual actions contributing to daily routines.",
Motivation and Goal-Directed Behavior,Behavioral Regulation,Impulse Control,,,,,,,The ability to make logical inferences and conclusions based on the written material.,
Motivation and Goal-Directed Behavior,Behavioral Regulation,Impulse Control,Self-Discipline,,,,,,The ability to logically structure ideas in written form for clear communication.,
Motivation and Goal-Directed Behavior,Behavioral Regulation,Impulse Control,Self-Discipline,Routine Reinforcement,,,,,Targets set to be achieved on a weekly timeframe.,
Motivation and Goal-Directed Behavior,Behavioral Regulation,Habit Formation,,,,,,,Milestones set within a week to track progress towards larger goals.,
Motivation and Goal-Directed Behavior,Behavioral Regulation,Habit Formation,Routine Establishment,,,,,,Regularly checking and evaluating the progress of tasks to ensure reaching weekly goals.,
Motivation and Goal-Directed Behavior,Behavioral Regulation,Habit Formation,Routine Establishment,Environmental Cues Utilization,,,,,"Goals set with a vision for a more distant future, requiring sustained effort over time.",
Self-Concept and Identity,,,,,,,,,Enduring personal ambitions that provide direction throughout life.,
Self-Concept and Identity,Self-Esteem,,,,,,,,Long-term objectives focused on individual growth and self-improvement.,
Self-Concept and Identity,Self-Esteem,Global Self-Esteem,,,,,,,Aims focused on achieving a high level of proficiency in specific skills over time.,
Self-Concept and Identity,Self-Esteem,Global Self-Esteem,Consistency of Self-Worth,,,,,,The ability to sustain effort and interest over time to achieve a goal.,
Self-Concept and Identity,Self-Esteem,Global Self-Esteem,Consistency of Self-Worth,Temporal Stability,,,,,The capacity to recover quickly from difficulties and continue pursuing goals.,
Self-Concept and Identity,Self-Esteem,Global Self-Esteem,Consistency of Self-Worth,Situational Stability,,,,,Ability to adjust to new conditions without getting derailed from goals.,
Self-Concept and Identity,Self-Esteem,Social Self-Esteem,,,,,,,The ability to shift thinking strategies or adapt behavior in response to new information or changes in the environment.,
Self-Concept and Identity,Self-Esteem,Social Self-Esteem,Peer Relationships Esteem,,,,,,Understanding and considering different viewpoints to adjust one's approach in pursuit of goals.,
Self-Concept and Identity,Self-Esteem,Social Self-Esteem,Peer Relationships Esteem,Peer Status Perception,,,,,Capacity to accept delay or trouble calmly and wait for success.,
Self-Concept and Identity,Self-Esteem,Social Self-Esteem,Peer Relationships Esteem,Peer Status Perception,Inclusion and Acceptance Perception,,,,Postponing immediate rewards in favor of long-term gains.,
Self-Concept and Identity,Self-Esteem,Social Self-Esteem,Family Relationships Esteem,,,,,,"Choosing to wait for a more valuable outcome rather than a quick, less substantial reward.",
Self-Concept and Identity,Self-Esteem,Social Self-Esteem,Family Relationships Esteem,Parental Relationship Esteem,,,,,Passion and sustained perseverance towards long-term and meaningful goals.,
Self-Concept and Identity,Self-Esteem,Social Self-Esteem,Family Relationships Esteem,Parental Relationship Esteem,Parental Approval Perception,,,,Determination to stick to a task until successful completion.,
Self-Concept and Identity,Self-Image,,,,,,,,Continuing to work on solving a problem despite difficulties or setbacks.,
Self-Concept and Identity,Self-Image,Personal Traits Perception,,,,,,,Maintaining interest in long-term goals over extended periods.,
Self-Concept and Identity,Self-Image,Personal Traits Perception,Emotional Traits Perception,,,,,,Continuation of interest and effort in goals over a lengthy period.,
Self-Concept and Identity,Self-Image,Personal Traits Perception,Emotional Traits Perception,Emotional Stability Perception,,,,,Ensuring personal interests and goals remain in synchrony over time.,
Self-Concept and Identity,Self-Image,Personal Traits Perception,Emotional Traits Perception,Emotional Stability Perception,Predictability of Emotions,,,,"The ability to regulate one's emotions, thoughts, and behaviors effectively in different situations to achieve long-term goals.",
Self-Concept and Identity,Self-Image,Personal Traits Perception,Emotional Traits Perception,Emotional Stability Perception,Emotional Variability,,,,The ability to manage and respond to emotional experiences in a goal-oriented manner.,
Self-Concept and Identity,Self-Image,Personal Traits Perception,Cognitive Traits Perception,,,,,,The ability to consciously reflect on emotional experiences and responses.,
Self-Concept and Identity,Self-Image,Personal Traits Perception,Cognitive Traits Perception,Memory Ability Perception,,,,,Ability to modulate emotional responses to align with goals.,
Self-Concept and Identity,Self-Image,Personal Traits Perception,Cognitive Traits Perception,Memory Ability Perception,Short-term Memory Perception,,,,Altering the intensity of emotional responses to suit situational demands and goals.,
Self-Concept and Identity,Self-Image,Personal Traits Perception,Cognitive Traits Perception,Memory Ability Perception,Long-term Memory Perception,,,,Redirecting emotional energy into productive tasks or mental states.,
Self-Concept and Identity,Self-Image,Role Perception,,,,,,,The ability to control one's actions in order to align with long-term goals.,
Self-Concept and Identity,Self-Image,Role Perception,Professional Role Perception,,,,,,Resisting short-term temptations in favor of long-term rewards.,
Self-Concept and Identity,Self-Image,Role Perception,Professional Role Perception,Leadership Role Perception,,,,,Training oneself to do something in a controlled and habitual way to achieve goals.,
Self-Concept and Identity,Self-Image,Role Perception,Professional Role Perception,Leadership Role Perception,Leadership Style Identification,,,,Strengthening goal-oriented habits through consistent practice.,
Self-Concept and Identity,Self-Image,Role Perception,Social Role Perception,,,,,,Establishing behaviors that align with one's goals over time.,
Self-Concept and Identity,Self-Image,Role Perception,Social Role Perception,Community Role Perception,,,,,"Creating regular, goal-directed routines.",
Self-Concept and Identity,Self-Image,Role Perception,Social Role Perception,Community Role Perception,Volunteer Role Perception,,,,Using surroundings or contexts to trigger goal-oriented behaviors.,
Self-Concept and Identity,Self-Efficacy,,,,,,,,"The understanding and perception of oneself, including personal identity, value, and individuality, as well as how one relates to the world and identifies with different social categories.",
Self-Concept and Identity,Self-Efficacy,Task-Specific Self-Efficacy,,,,,,,A dimension reflecting one's overall subjective emotional evaluation of their own worth.,
Self-Concept and Identity,Self-Efficacy,Task-Specific Self-Efficacy,Academic Task Confidence,,,,,,Overall assessment of one's own worth as a person.,
Self-Concept and Identity,Self-Efficacy,Task-Specific Self-Efficacy,Academic Task Confidence,Exam Performance Efficacy,,,,,Stability and consistency of one's assessment of self-worth over time.,
Self-Concept and Identity,Self-Efficacy,Task-Specific Self-Efficacy,Academic Task Confidence,Exam Performance Efficacy,Test Anxiety Management,,,,How one's sense of self-worth remains stable or changes over different periods.,
Self-Concept and Identity,Self-Efficacy,Task-Specific Self-Efficacy,Physical Task Confidence,,,,,,Consistency of self-worth across different situations and contexts.,
Self-Concept and Identity,Self-Efficacy,Task-Specific Self-Efficacy,Physical Task Confidence,Endurance Activity Confidence,,,,,Evaluation of oneself in social contexts and relationships.,
Self-Concept and Identity,Self-Efficacy,Task-Specific Self-Efficacy,Physical Task Confidence,Endurance Activity Confidence,Cardio Endurance Confidence,,,,Self-worth perception in the context of peer interactions.,
Self-Concept and Identity,Self-Efficacy,Learning Self-Efficacy,,,,,,,Perception of one's status and acceptance within peer groups.,
Self-Concept and Identity,Self-Efficacy,Learning Self-Efficacy,Problem-Solving Efficacy,,,,,,Belief in how much one is included and accepted by peers.,
Self-Concept and Identity,Self-Efficacy,Learning Self-Efficacy,Problem-Solving Efficacy,Analytical Problem Solving Confidence,,,,,Self-worth perception in the context of family interactions.,
Self-Concept and Identity,Self-Efficacy,Learning Self-Efficacy,Problem-Solving Efficacy,Analytical Problem Solving Confidence,Logical Reasoning Confidence,,,,Self-worth perception in the context of interactions with parents.,
Self-Concept and Identity,Self-Efficacy,Learning Self-Efficacy,Creativity Efficacy,,,,,,Perception of approval and support from parents.,
Self-Concept and Identity,Self-Efficacy,Learning Self-Efficacy,Creativity Efficacy,Innovative Thinking Confidence,,,,,"How one views oneself and the mental picture one has of themselves, including attributes like personality traits, physical appearance, and roles.",
Self-Concept and Identity,Self-Efficacy,Learning Self-Efficacy,Creativity Efficacy,Innovative Thinking Confidence,Divergent Thinking Confidence,,,,How one perceives their own personality traits and characteristics.,
Self-Concept and Identity,Identity Formation,,,,,,,,Perception of one's own emotional tendencies and characteristics.,
Self-Concept and Identity,Identity Formation,Cultural Identity Formation,,,,,,,Assessment of one's emotional stability and predictability.,
Self-Concept and Identity,Identity Formation,Cultural Identity Formation,Ethnic Identity Development,,,,,,Perception of how predictable one finds their emotional responses.,
Self-Concept and Identity,Identity Formation,Cultural Identity Formation,Ethnic Identity Development,Tradition Appreciation,,,,,Perception of changes and variability in one's emotional state.,
Self-Concept and Identity,Identity Formation,Cultural Identity Formation,Ethnic Identity Development,Tradition Appreciation,Cultural Heritage Knowledge,,,,Perception of one's cognitive abilities and characteristics.,
Self-Concept and Identity,Identity Formation,Cultural Identity Formation,National Identity Development,,,,,,Perception of one's own memory capabilities.,
Self-Concept and Identity,Identity Formation,Cultural Identity Formation,National Identity Development,National Values Alignment,,,,,Belief in one's short-term memory capacity.,
Self-Concept and Identity,Identity Formation,Cultural Identity Formation,National Identity Development,National Values Alignment,Civic Engagement Understanding,,,,Belief in one's long-term memory capacity.,
Self-Concept and Identity,Identity Formation,Gender Identity Formation,,,,,,,The conceptualization of the roles one believes they occupy in life.,
Self-Concept and Identity,Identity Formation,Gender Identity Formation,Gender Role Understanding,,,,,,Understanding and perception of one's role in professional settings.,
Self-Concept and Identity,Identity Formation,Gender Identity Formation,Gender Role Understanding,Non-Binary Role Understanding,,,,,Perception and understanding of one's role as a leader.,
Self-Concept and Identity,Identity Formation,Gender Identity Formation,Gender Role Understanding,Non-Binary Role Understanding,Gender Fluidity Recognition,,,,Understanding and identification with specific leadership styles.,
Self-Concept and Identity,Identity Formation,Gender Identity Formation,Gender Expression,,,,,,Conceptualization of roles occupied in social settings.,
Self-Concept and Identity,Identity Formation,Gender Identity Formation,Gender Expression,Clothing Expression Confidence,,,,,Understanding of one's role and contribution to the community.,
Self-Concept and Identity,Identity Formation,Gender Identity Formation,Gender Expression,Clothing Expression Confidence,Style Diversity Comfort,,,,Perception of one's role and identity as a volunteer.,
Self-Concept and Identity,Body Image,,,,,,,,The belief in one's capacity to execute behaviors necessary to produce specific performance attainments.,
Self-Concept and Identity,Body Image,Perceptual Body Image,,,,,,,Confidence in one's ability to accomplish specific tasks.,
Self-Concept and Identity,Body Image,Perceptual Body Image,Size Perception Accuracy,,,,,,Confidence in one's ability to perform academic tasks.,
Self-Concept and Identity,Body Image,Perceptual Body Image,Size Perception Accuracy,Weight Perception Accuracy,,,,,Confidence in one's ability to perform well in exams and tests.,
Self-Concept and Identity,Body Image,Perceptual Body Image,Size Perception Accuracy,Weight Perception Accuracy,BMI Awareness,,,,Belief in one's ability to manage anxiety during tests.,
Self-Concept and Identity,Body Image,Perceptual Body Image,Shape Perception Accuracy,,,,,,Confidence in one's ability to perform physical tasks.,
Self-Concept and Identity,Body Image,Perceptual Body Image,Shape Perception Accuracy,Proportion Perception Accuracy,,,,,Belief in one's physical stamina and endurance abilities.,
Self-Concept and Identity,Body Image,Perceptual Body Image,Shape Perception Accuracy,Proportion Perception Accuracy,Symmetry Recognition,,,,Belief in one's cardiovascular endurance capabilities.,
Self-Concept and Identity,Body Image,Attitudinal Body Image,,,,,,,Belief in the ability to learn and understand new information.,
Self-Concept and Identity,Body Image,Attitudinal Body Image,Body Satisfaction,,,,,,Confidence in one's ability to solve problems effectively.,
Self-Concept and Identity,Body Image,Attitudinal Body Image,Body Satisfaction,Muscle Tone Satisfaction,,,,,Confidence in solving problems through analysis and logical reasoning.,
Self-Concept and Identity,Body Image,Attitudinal Body Image,Body Satisfaction,Muscle Tone Satisfaction,Strength Perception Satisfaction,,,,Belief in one's logical reasoning abilities.,
Self-Concept and Identity,Body Image,Attitudinal Body Image,Body Appreciation,,,,,,Belief in one's ability to generate creative ideas and solutions.,
Self-Concept and Identity,Body Image,Attitudinal Body Image,Body Appreciation,Body Functionality Appreciation,,,,,Confidence in one's ability to think innovatively and unconventionally.,
Self-Concept and Identity,Body Image,Attitudinal Body Image,Body Appreciation,Body Functionality Appreciation,Movement Gratitude,,,,Belief in one's capacity to think in diverse and novel ways.,
Self-Concept and Identity,Ethical Self-Concept,,,,,,,,"The process of developing a distinct reputation and personality, integrating various components of the self.",
Self-Concept and Identity,Ethical Self-Concept,Moral Values Identification,,,,,,,The development of a sense of belonging to a cultural group.,
Self-Concept and Identity,Ethical Self-Concept,Moral Values Identification,Virtue Prioritization,,,,,,Understanding and affirmation of one's ethnic group and its traditions.,
Self-Concept and Identity,Ethical Self-Concept,Moral Values Identification,Virtue Prioritization,Ethical Dilemma Prioritization,,,,,Acknowledgment and valuing of cultural traditions and heritage.,
Self-Concept and Identity,Ethical Self-Concept,Moral Values Identification,Moral Consistency,,,,,,Knowledge and understanding of one's cultural heritage.,
Self-Concept and Identity,Ethical Self-Concept,Moral Values Identification,Moral Consistency,Ethical Flexibility,,,,,The sense of belonging to a nation and its collective identity.,
Self-Concept and Identity,Ethical Self-Concept,Integrity Perception,,,,,,,The alignment with and understanding of national values and principles.,
Self-Concept and Identity,Ethical Self-Concept,Integrity Perception,Honesty Self-Assessment,,,,,,Understanding the importance of and participation in civic activities.,
Self-Concept and Identity,Ethical Self-Concept,Integrity Perception,Honesty Self-Assessment,Truth Dilemmas Resolution,,,,,The process of understanding and identifying with a gender identity.,
Self-Concept and Identity,Ethical Self-Concept,Integrity Perception,Trustworthiness Perception,,,,,,Understanding societal roles and expectations based on gender.,
Self-Concept and Identity,Ethical Self-Concept,Integrity Perception,Trustworthiness Perception,Reliability Consistency,,,,,"Understanding of non-binary and non-traditional gender roles, beyond the male-female binary.",
Self-Concept and Identity,Self-Narrative Identity,,,,,,,,Recognition and understanding of gender fluidity and non-conformity.,
Self-Concept and Identity,Self-Narrative Identity,Life Story Coherence,,,,,,,"The ways in which one expresses gender identity through behavior, clothing, etc.",
