level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,description
Attention and Perception,Sensory Processing,Visual Processing,Color Processing,Color Memory,,,,The ability to maintain focused attention on a continuous task or activity until completion.
Attention and Perception,Sensory Processing,Visual Processing,Motion Processing,,,,,The ability to keep task goals active in working memory while performing the task.
Attention and Perception,Sensory Processing,Visual Processing,Motion Processing,Motion Detection,,,,The ability to modulate mental effort according to task demands over time.
Attention and Perception,Sensory Processing,Visual Processing,Motion Processing,Motion Tracking,,,,The ability to focus on relevant stimuli while filtering out irrelevant or distracting information.
Attention and Perception,Sensory Processing,Auditory Processing,,,,,,The ability to concentrate on a specific stimulus or aspect of the environment while actively suppressing distractors.
Attention and Perception,Sensory Processing,Auditory Processing,Sound Discrimination,,,,,The ability to quickly identify and respond to target stimuli among distractors.
Attention and Perception,Sensory Processing,Auditory Processing,Sound Discrimination,Frequency Discrimination,,,,The ability to inhibit processing of irrelevant stimuli in the environment.
Attention and Perception,Sensory Processing,Auditory Processing,Sound Discrimination,Amplitude Discrimination,,,,The ability to screen out or inhibit responses to irrelevant stimuli while maintaining focus on target information.
Attention and Perception,Sensory Processing,Auditory Processing,Phonological Processing,,,,,"The ability to understand, express, and exchange information through verbal and non-verbal means, including the comprehension and use of language in various contexts."
Attention and Perception,Sensory Processing,Auditory Processing,Phonological Processing,Phonemic Awareness,,,,The ability to selectively attend to specific features or characteristics of stimuli.
Attention and Perception,Sensory Processing,Auditory Processing,Phonological Processing,Speech Sound Sequencing,,,,The ability to selectively attend to specific spatial locations while ignoring others.
Attention and Perception,Sensory Processing,Tactile Processing,,,,,,The ability to simultaneously attend to and process multiple tasks or stimuli.
Attention and Perception,Sensory Processing,Tactile Processing,Texture Discrimination,,,,,The ability to effectively perform two distinct tasks simultaneously.
Attention and Perception,Sensory Processing,Tactile Processing,Texture Discrimination,Surface Pattern Recognition,,,,The ability to rapidly switch attention between two concurrent tasks.
Attention and Perception,Sensory Processing,Tactile Processing,Texture Discrimination,Material Property Detection,,,,The ability to effectively distribute cognitive resources between concurrent tasks.
Attention and Perception,Sensory Processing,Tactile Processing,Pressure Sensitivity,,,,,The ability to monitor and respond to multiple streams of information or tasks while maintaining performance levels.
Attention and Perception,Sensory Processing,Tactile Processing,Pressure Sensitivity,Light Touch Detection,,,,The ability to effectively prioritize multiple concurrent tasks based on importance and urgency.
Attention and Perception,Sensory Processing,Tactile Processing,Pressure Sensitivity,Pressure Graduation,,,,The ability to track and maintain performance across multiple ongoing tasks.
Attention and Perception,Sensory Processing,Other Sensory Processing,,,,,,"The ability to receive, organize, and interpret sensory information from the environment across different sensory modalities (visual, auditory, tactile, etc.)."
Attention and Perception,Sensory Processing,Other Sensory Processing,Gustatory Processing,,,,,"The ability to receive, organize, and interpret visual information from the environment."
Attention and Perception,Sensory Processing,Other Sensory Processing,Gustatory Processing,Taste Discrimination,,,,"The ability to perceive and distinguish between different shapes, sizes, and visual patterns."
Attention and Perception,Sensory Processing,Other Sensory Processing,Gustatory Processing,Flavor Integration,,,,The ability to identify and differentiate between various geometric and organic shapes.
Attention and Perception,Sensory Processing,Other Sensory Processing,Olfactory Processing,,,,,The ability to accurately judge and compare the relative sizes of objects.
Attention and Perception,Sensory Processing,Other Sensory Processing,Olfactory Processing,Odor Detection,,,,"The ability to perceive, discriminate, and interpret color information."
Attention and Perception,Sensory Processing,Other Sensory Processing,Olfactory Processing,Odor Discrimination,,,,The ability to distinguish between different colors and shades.
Attention and Perception,Sensory Processing,Other Sensory Processing,Vestibular Processing,,,,,The ability to remember and recognize specific colors and color patterns.
Attention and Perception,Sensory Processing,Other Sensory Processing,Vestibular Processing,Balance Processing,,,,The ability to detect and track moving objects and perceive motion patterns.
Attention and Perception,Sensory Processing,Other Sensory Processing,Vestibular Processing,Movement Processing,,,,The ability to identify movement and changes in position of objects.
Attention and Perception,Perceptual Organization,,,,,,,The ability to follow and predict the trajectory of moving objects.
Attention and Perception,Perceptual Organization,Pattern Recognition,,,,,,The ability to identify and understand recurring patterns
Attention and Perception,Perceptual Organization,Pattern Recognition,Visual Pattern Recognition,,,,,The ability to identify and understand visual patterns and sequences
Attention and Perception,Perceptual Organization,Pattern Recognition,Visual Pattern Recognition,Object Recognition,,,,"The ability to receive, organize, and interpret auditory information from the environment."
Attention and Perception,Perceptual Organization,Pattern Recognition,Visual Pattern Recognition,Sequential Pattern Analysis,,,,"The ability to distinguish between different sounds, including pitch, volume, and temporal patterns."
Attention and Perception,Perceptual Organization,Pattern Recognition,Temporal Pattern Recognition,,,,,The ability to differentiate between sounds of different frequencies or pitches.
Attention and Perception,Perceptual Organization,Pattern Recognition,Temporal Pattern Recognition,Rhythm Recognition,,,,The ability to differentiate between sounds of different volumes or intensities.
Attention and Perception,Perceptual Organization,Pattern Recognition,Temporal Pattern Recognition,Event Sequencing,,,,The ability to process and manipulate speech sounds and sound patterns.
Attention and Perception,Perceptual Organization,Spatial Processing,,,,,,The ability to combine information from different parts of text and connect it with prior knowledge.
Attention and Perception,Perceptual Organization,Spatial Processing,Spatial Orientation,,,,,The ability to identify and manipulate individual speech sounds.
Attention and Perception,Perceptual Organization,Spatial Processing,Spatial Orientation,Egocentric Orientation,,,,The ability to process and remember the order of speech sounds.
Attention and Perception,Perceptual Organization,Spatial Processing,Spatial Orientation,Allocentric Orientation,,,,"The ability to receive, organize, and interpret touch-based information from the environment."
Attention and Perception,Perceptual Organization,Spatial Processing,Depth Perception,,,,,The ability to distinguish between different surface textures and properties through touch.
Attention and Perception,Perceptual Organization,Spatial Processing,Depth Perception,Binocular Depth Processing,,,,The ability to identify and differentiate patterns and arrangements through touch.
Attention and Perception,Perceptual Organization,Spatial Processing,Depth Perception,Monocular Depth Processing,,,,"The ability to identify different material properties such as roughness, smoothness, and hardness."
Attention and Perception,Perceptual Organization,Perceptual Integration,,,,,,The ability to detect and discriminate different levels of pressure applied to the skin.
Attention and Perception,Perceptual Organization,Perceptual Integration,Cross-Modal Integration,,,,,The ability to perceive and respond to subtle tactile stimulation.
Attention and Perception,Perceptual Organization,Perceptual Integration,Cross-Modal Integration,Sensory Synchronization,,,,The ability to discriminate between different levels of applied pressure.
Attention and Perception,Perceptual Organization,Perceptual Integration,Cross-Modal Integration,Multi-sensory Object Recognition,,,,"The ability to receive, organize, and interpret information from other sensory modalities, including taste, smell, and vestibular/proprioceptive inputs."
Attention and Perception,Perceptual Organization,Perceptual Integration,Figure-Ground Processing,,,,,The ability to process and interpret taste information.
Attention and Perception,Perceptual Organization,Perceptual Integration,Figure-Ground Processing,Visual Figure-Ground,,,,The ability to distinguish between different taste qualities and intensities.
Attention and Perception,Perceptual Organization,Perceptual Integration,Figure-Ground Processing,Auditory Figure-Ground,,,,The ability to combine taste with other sensory inputs to perceive flavor.
Adaptive Functioning and Life Skills,,,,,,,,The ability to process and interpret smell information.
Adaptive Functioning and Life Skills,Daily Living Skills,,,,,,,The ability to detect and recognize the presence of odors.
Adaptive Functioning and Life Skills,Daily Living Skills,Personal Care,,,,,,The ability to distinguish between different odors and their intensities.
Adaptive Functioning and Life Skills,Daily Living Skills,Personal Care,Hygiene Management,,,,,The ability to process information related to balance and spatial orientation.
Adaptive Functioning and Life Skills,Daily Living Skills,Personal Care,Hygiene Management,Self-Cleaning,,,,The ability to maintain and adjust body position in space.
Adaptive Functioning and Life Skills,Daily Living Skills,Personal Care,Hygiene Management,Self-Cleaning,Body Washing,,,The ability to process information about head position and movement.
Adaptive Functioning and Life Skills,Daily Living Skills,Personal Care,Hygiene Management,Self-Cleaning,Body Washing,Upper Body Care,,"The ability to organize, integrate, and make meaning from sensory information, including pattern recognition, spatial relationships, and gestalt processing."
Adaptive Functioning and Life Skills,Daily Living Skills,Personal Care,Hygiene Management,Self-Cleaning,Body Washing,Upper Body Care,Arm and Hand Washing,The ability to identify and recognize meaningful patterns in sensory information.
Adaptive Functioning and Life Skills,Daily Living Skills,Personal Care,Hygiene Management,Self-Cleaning,Body Washing,Upper Body Care,Torso Cleaning,The ability to identify and understand recurring visual patterns and sequences.
Adaptive Functioning and Life Skills,Daily Living Skills,Personal Care,Hygiene Management,Self-Cleaning,Body Washing,Lower Body Care,,The ability to identify and categorize visual objects and their features.
Adaptive Functioning and Life Skills,Daily Living Skills,Personal Care,Hygiene Management,Self-Cleaning,Body Washing,Lower Body Care,Leg and Foot Washing,The ability to identify and understand repeating visual sequences and arrangements.
Adaptive Functioning and Life Skills,Daily Living Skills,Personal Care,Hygiene Management,Self-Cleaning,Body Washing,Lower Body Care,Complex Area Cleaning,The ability to identify and understand patterns that occur over time.
Adaptive Functioning and Life Skills,Daily Living Skills,Personal Care,Hygiene Management,Self-Cleaning,Hand Hygiene,,,The ability to identify and understand temporal rhythms and sequences.
Adaptive Functioning and Life Skills,Daily Living Skills,Personal Care,Hygiene Management,Self-Cleaning,Hand Hygiene,Hand Washing Technique,,The ability to recognize and understand the order of events over time.
Adaptive Functioning and Life Skills,Daily Living Skills,Personal Care,Hygiene Management,Self-Cleaning,Hand Hygiene,Situational Hand Hygiene,,The ability to understand and manipulate spatial relationships between objects and in the environment.
Adaptive Functioning and Life Skills,Daily Living Skills,Personal Care,Hygiene Management,Oral Hygiene,,,,The ability to understand the position and orientation of objects in space relative to oneself and other objects.
Adaptive Functioning and Life Skills,Daily Living Skills,Personal Care,Hygiene Management,Oral Hygiene,Brushing Technique,,,The ability to understand spatial relationships relative to one's own body position.
Adaptive Functioning and Life Skills,Daily Living Skills,Personal Care,Hygiene Management,Oral Hygiene,Supplementary Oral Care,,,The ability to understand spatial relationships between objects independent of one's own position.
Adaptive Functioning and Life Skills,Daily Living Skills,Personal Care,Dressing Skills,,,,,The ability to perceive and judge distances and three-dimensional relationships.
Adaptive Functioning and Life Skills,Daily Living Skills,Personal Care,Dressing Skills,Clothing Selection,,,,The ability to process depth information using both eyes.
Adaptive Functioning and Life Skills,Daily Living Skills,Personal Care,Dressing Skills,Clothing Selection,Weather Appropriate Selection,,,The ability to process depth information using single-eye depth cues.
Adaptive Functioning and Life Skills,Daily Living Skills,Personal Care,Dressing Skills,Clothing Selection,Social Context Selection,,,"The ability to combine and integrate information from multiple sensory modalities into cohesive, meaningful percepts."
Adaptive Functioning and Life Skills,Daily Living Skills,Personal Care,Dressing Skills,Dressing Mechanics,,,,The ability to combine information from different sensory modalities into a unified perception.
Adaptive Functioning and Life Skills,Daily Living Skills,Personal Care,Dressing Skills,Dressing Mechanics,Fastener Management,,,The ability to temporally align information from different sensory modalities.
Adaptive Functioning and Life Skills,Daily Living Skills,Personal Care,Dressing Skills,Dressing Mechanics,Layering Skills,,,The ability to integrate information from multiple senses to identify objects and events.
Adaptive Functioning and Life Skills,Daily Living Skills,Household Management,,,,,,The ability to distinguish between foreground and background information in perceptual experiences.
Adaptive Functioning and Life Skills,Daily Living Skills,Household Management,Cleaning and Organization,,,,,The ability to distinguish visual objects from their backgrounds.
Adaptive Functioning and Life Skills,Daily Living Skills,Household Management,Cleaning and Organization,Surface Cleaning,,,,The ability to distinguish relevant sounds from background noise.
Adaptive Functioning and Life Skills,Daily Living Skills,Household Management,Cleaning and Organization,Space Organization,,,,"The ability to effectively manage daily activities, meet environmental demands, and function independently in various life domains"
Adaptive Functioning and Life Skills,Daily Living Skills,Household Management,Meal Management,,,,,The ability to perform basic and instrumental activities of daily living necessary for independent functioning
Adaptive Functioning and Life Skills,Daily Living Skills,Household Management,Meal Management,Food Preparation,,,,"The ability to maintain personal hygiene, grooming, and dress appropriately"
Adaptive Functioning and Life Skills,Daily Living Skills,Household Management,Meal Management,Food Safety,,,,"The ability to maintain cleanliness through regular bathing, dental care, and other personal cleaning routines"
Adaptive Functioning and Life Skills,Daily Living Skills,Health Management,,,,,,"The ability to independently perform basic cleaning tasks like bathing, washing hands, and using personal cleaning products"
Adaptive Functioning and Life Skills,Daily Living Skills,Health Management,Medication Management,,,,,The ability to effectively clean different body parts using appropriate techniques and products
Adaptive Functioning and Life Skills,Daily Living Skills,Health Management,Medication Management,Medication Organization,,,,"The ability to effectively clean the upper body including arms, chest, and back"
Adaptive Functioning and Life Skills,Daily Living Skills,Health Management,Medication Management,Medication Administration,,,,The ability to thoroughly clean arms and hands with appropriate pressure and technique
Adaptive Functioning and Life Skills,Daily Living Skills,Health Management,Healthcare Routine Maintenance,,,,,"The ability to effectively clean chest, back, and abdomen areas"
Adaptive Functioning and Life Skills,Daily Living Skills,Health Management,Healthcare Routine Maintenance,Appointment Management,,,,The ability to effectively clean the lower body including legs and feet
Adaptive Functioning and Life Skills,Daily Living Skills,Health Management,Healthcare Routine Maintenance,Health Monitoring,,,,The ability to thoroughly clean legs and feet while maintaining balance
Adaptive Functioning and Life Skills,Community Navigation,,,,,,,The ability to effectively clean harder-to-reach areas of the lower body
Adaptive Functioning and Life Skills,Community Navigation,Transportation Use,,,,,,The ability to maintain proper hand cleanliness through appropriate washing techniques and timing
Adaptive Functioning and Life Skills,Community Navigation,Transportation Use,Public Transit Navigation,,,,,The ability to follow proper hand washing steps and duration
Adaptive Functioning and Life Skills,Community Navigation,Transportation Use,Route Planning,,,,,The ability to recognize when hand washing is necessary and act accordingly
Adaptive Functioning and Life Skills,Community Navigation,Resource Utilization,,,,,,"The ability to maintain dental health through proper brushing, flossing, and oral care routines"
Adaptive Functioning and Life Skills,Community Navigation,Resource Utilization,Service Location,,,,,The ability to properly brush teeth using correct movements and duration
Adaptive Functioning and Life Skills,Community Navigation,Resource Utilization,Information Gathering,,,,,The ability to perform additional oral care tasks such as flossing and using mouthwash
Adaptive Functioning and Life Skills,Safety Awareness,,,,,,,The ability to select appropriate clothing and manage clothing fasteners and accessories
Adaptive Functioning and Life Skills,Safety Awareness,Risk Recognition,,,,,,"The ability to choose appropriate clothing based on weather, occasion, and social context"
Adaptive Functioning and Life Skills,Safety Awareness,Risk Recognition,Environmental Hazard Recognition,,,,,The ability to select clothing suitable for different weather conditions
Adaptive Functioning and Life Skills,Safety Awareness,Risk Recognition,Social Risk Assessment,,,,,The ability to select clothing appropriate for different social settings and occasions
Adaptive Functioning and Life Skills,Safety Awareness,Emergency Response,,,,,,"The ability to physically manage clothing, including buttons, zippers, and other fasteners"
Adaptive Functioning and Life Skills,Safety Awareness,Emergency Response,Emergency Protocol Implementation,,,,,The ability to manipulate different types of clothing fasteners
Adaptive Functioning and Life Skills,Safety Awareness,Emergency Response,Help-Seeking Behavior,,,,,The ability to put on and remove multiple layers of clothing in appropriate order
Adaptive Functioning and Life Skills,Time Management,,,,,,,"The ability to maintain living space, perform household chores, and manage basic home responsibilities"
Adaptive Functioning and Life Skills,Time Management,Schedule Planning,,,,,,The ability to maintain cleanliness and organization of living spaces
Adaptive Functioning and Life Skills,Time Management,Schedule Planning,Calendar Management,,,,,The ability to clean and maintain various surfaces and materials in the living space
Adaptive Functioning and Life Skills,Time Management,Schedule Planning,Routine Development,,,,,The ability to arrange and maintain orderly storage and living areas
Adaptive Functioning and Life Skills,Time Management,Task Prioritization,,,,,,The ability to manage emotional responses while waiting for delayed rewards
Adaptive Functioning and Life Skills,Time Management,Task Prioritization,Task Analysis,,,,,"The ability to plan, prepare, and store food safely"
Adaptive Functioning and Life Skills,Time Management,Task Prioritization,Time Allocation,,,,,The ability to follow recipes and prepare meals using appropriate kitchen tools and appliances
Adaptive Functioning and Life Skills,Financial Management,,,,,,,"The ability to handle, store, and maintain food items safely"
Adaptive Functioning and Life Skills,Financial Management,Money Handling,,,,,,"The ability to maintain personal health, including medication management and basic healthcare routines"
Adaptive Functioning and Life Skills,Financial Management,Money Handling,Currency Recognition,,,,,The ability to understand and follow medication schedules and requirements
Adaptive Functioning and Life Skills,Financial Management,Money Handling,Transaction Processing,,,,,The ability to sort and organize medications according to prescribed schedules
Adaptive Functioning and Life Skills,Financial Management,Budgeting Skills,,,,,,The ability to take medications correctly and safely following prescribed instructions
Adaptive Functioning and Life Skills,Financial Management,Budgeting Skills,Income Management,,,,,The ability to maintain regular health appointments and follow preventive health practices
Adaptive Functioning and Life Skills,Financial Management,Budgeting Skills,Expense Tracking,,,,,The ability to schedule and keep track of healthcare appointments
Adaptive Functioning and Life Skills,Social Responsibility,,,,,,,The ability to track and record relevant health information and symptoms
Adaptive Functioning and Life Skills,Social Responsibility,Role Fulfillment,,,,,,The ability to navigate and function effectively in community settings and utilize community resources
Adaptive Functioning and Life Skills,Social Responsibility,Role Fulfillment,Responsibility Completion,,,,,The ability to use various forms of transportation and navigate from place to place
Adaptive Functioning and Life Skills,Social Responsibility,Role Fulfillment,Role Adaptation,,,,,The ability to understand and use public transportation systems
Adaptive Functioning and Life Skills,Social Responsibility,Civic Responsibility,,,,,,The ability to plan and follow travel routes to reach destinations
Adaptive Functioning and Life Skills,Social Responsibility,Civic Responsibility,Community Participation,,,,,The ability to identify and access community resources and services
Adaptive Functioning and Life Skills,Social Responsibility,Civic Responsibility,Rule Compliance,,,,,The ability to locate and access needed community services
Motivation and Goal-Directed Behavior,,,,,,,,The ability to obtain and understand information about available resources
Motivation and Goal-Directed Behavior,Intrinsic Motivation,,,,,,,The understanding and application of safety practices in various environments and situations
Motivation and Goal-Directed Behavior,Intrinsic Motivation,Personal Interest,,,,,,The ability to identify and understand potential hazards and dangerous situations
Motivation and Goal-Directed Behavior,Intrinsic Motivation,Personal Interest,Exploratory Drive,,,,,The ability to identify physical dangers in various settings
Motivation and Goal-Directed Behavior,Intrinsic Motivation,Personal Interest,Exploratory Drive,Novelty Seeking,,,,The ability to recognize potentially dangerous social situations or interactions
Motivation and Goal-Directed Behavior,Intrinsic Motivation,Personal Interest,Exploratory Drive,Information Gathering,,,,The ability to perform additional oral care tasks such as flossing and using mouthwash
Motivation and Goal-Directed Behavior,Intrinsic Motivation,Personal Interest,Sustained Engagement,,,,,The ability to respond appropriately to emergency situations and seek help when needed
Motivation and Goal-Directed Behavior,Intrinsic Motivation,Personal Interest,Sustained Engagement,Flow State Capacity,,,,The ability to follow established emergency procedures
Motivation and Goal-Directed Behavior,Intrinsic Motivation,Personal Interest,Sustained Engagement,Interest Maintenance,,,,The ability to identify when and how to seek appropriate assistance in emergencies
Motivation and Goal-Directed Behavior,Intrinsic Motivation,Mastery Orientation,,,,,,"The ability to organize, plan, and effectively use time to complete tasks and meet responsibilities"
Motivation and Goal-Directed Behavior,Intrinsic Motivation,Mastery Orientation,Learning Approach,,,,,The ability to create and follow daily and weekly schedules
Motivation and Goal-Directed Behavior,Intrinsic Motivation,Mastery Orientation,Learning Approach,Growth Mindset,,,,The ability to maintain and use a calendar system for appointments and deadlines
Motivation and Goal-Directed Behavior,Intrinsic Motivation,Mastery Orientation,Learning Approach,Learning Strategy Use,,,,The ability to establish and maintain regular daily routines
Motivation and Goal-Directed Behavior,Intrinsic Motivation,Mastery Orientation,Challenge Response,,,,,The ability to prioritize tasks and manage multiple responsibilities
Motivation and Goal-Directed Behavior,Intrinsic Motivation,Mastery Orientation,Challenge Response,Difficulty Approach,,,,The ability to break down complex tasks into manageable steps
Motivation and Goal-Directed Behavior,Intrinsic Motivation,Mastery Orientation,Challenge Response,Resilience,,,,The ability to estimate and allocate appropriate time for tasks
Motivation and Goal-Directed Behavior,Intrinsic Motivation,Autonomy Drive,,,,,,"The ability to understand and manage money, budgeting, and financial responsibilities"
Motivation and Goal-Directed Behavior,Intrinsic Motivation,Autonomy Drive,Decision Making Independence,,,,,The ability to understand currency values and perform basic monetary transactions
Motivation and Goal-Directed Behavior,Intrinsic Motivation,Autonomy Drive,Decision Making Independence,Choice Confidence,,,,The ability to identify and understand different denominations of money
Motivation and Goal-Directed Behavior,Intrinsic Motivation,Autonomy Drive,Decision Making Independence,Independent Reasoning,,,,The ability to complete purchases and handle change accurately
Motivation and Goal-Directed Behavior,Intrinsic Motivation,Autonomy Drive,Self-Directed Action,,,,,The ability to plan and track income and expenses
Motivation and Goal-Directed Behavior,Intrinsic Motivation,Autonomy Drive,Self-Directed Action,Self-Reliance,,,,The ability to track and manage incoming money from various sources
Motivation and Goal-Directed Behavior,Intrinsic Motivation,Autonomy Drive,Self-Directed Action,Independent Problem-Solving,,,,The ability to monitor and record spending across different categories
Motivation and Goal-Directed Behavior,Extrinsic Motivation,,,,,,,The ability to understand and fulfill social obligations and responsibilities in various contexts
Motivation and Goal-Directed Behavior,Extrinsic Motivation,Reward Sensitivity,,,,,,The ability to understand and meet the expectations of various social roles
Motivation and Goal-Directed Behavior,Extrinsic Motivation,Reward Sensitivity,Immediate Reward Processing,,,,,The ability to follow through on commitments and assigned tasks
Motivation and Goal-Directed Behavior,Extrinsic Motivation,Reward Sensitivity,Immediate Reward Processing,Reward Recognition,,,,The understanding and fulfillment of civic duties and community obligations
Motivation and Goal-Directed Behavior,Extrinsic Motivation,Reward Sensitivity,Immediate Reward Processing,Reward Value Assessment,,,,The ability to engage in community activities and contribute to group efforts
Motivation and Goal-Directed Behavior,Extrinsic Motivation,Reward Sensitivity,Delayed Reward Processing,,,,,The ability to understand and follow societal rules and regulations
Motivation and Goal-Directed Behavior,Extrinsic Motivation,Reward Sensitivity,Delayed Reward Processing,Future Reward Visualization,,,,"The capacity to initiate, sustain, and regulate behavior directed towards achieving goals, encompassing both internal drives and external rewards."
Motivation and Goal-Directed Behavior,Extrinsic Motivation,Reward Sensitivity,Delayed Reward Processing,Delayed Gratification,,,,"The drive to engage in activities for personal satisfaction, interest, or enjoyment, without the need for external rewards or pressures."
Motivation and Goal-Directed Behavior,Extrinsic Motivation,Social Recognition,,,,,,The degree of natural curiosity and engagement in activities based on genuine interest and enjoyment.
Motivation and Goal-Directed Behavior,Extrinsic Motivation,Social Recognition,Peer Approval Seeking,,,,,"The natural tendency to seek out and investigate new experiences, information, or activities."
Motivation and Goal-Directed Behavior,Extrinsic Motivation,Social Recognition,Peer Approval Seeking,Social Comparison,,,,The inclination to pursue and engage with new or unfamiliar experiences and stimuli.
Motivation and Goal-Directed Behavior,Extrinsic Motivation,Social Recognition,Peer Approval Seeking,Peer Feedback Response,,,,The drive to collect and process new information about topics of interest.
Motivation and Goal-Directed Behavior,Extrinsic Motivation,Social Recognition,Authority Approval Seeking,,,,,The ability to maintain focus and involvement in activities that align with personal interests.
Motivation and Goal-Directed Behavior,Extrinsic Motivation,Social Recognition,Authority Approval Seeking,Authority Figure Response,,,,"The ability to become deeply absorbed in engaging activities, losing track of time and external distractions."
Motivation and Goal-Directed Behavior,Extrinsic Motivation,Social Recognition,Authority Approval Seeking,Achievement Display,,,,The ability to maintain enthusiasm and engagement in activities over extended periods.
Motivation and Goal-Directed Behavior,Extrinsic Motivation,Consequence Awareness,,,,,,The ability to understand the potential outcomes and impacts of emotional experiences
Motivation and Goal-Directed Behavior,Extrinsic Motivation,Consequence Awareness,Risk Assessment,,,,,The desire to develop competence and improve skills for personal growth and satisfaction.
Motivation and Goal-Directed Behavior,Extrinsic Motivation,Consequence Awareness,Risk Assessment,Consequence Prediction,,,,The attitude and strategy adopted when approaching new skills or knowledge acquisition.
Motivation and Goal-Directed Behavior,Extrinsic Motivation,Consequence Awareness,Risk Assessment,Risk-Benefit Analysis,,,,The belief that abilities can be developed through effort and learning from mistakes.
Motivation and Goal-Directed Behavior,Extrinsic Motivation,Consequence Awareness,Behavioral Inhibition,,,,,The application of effective methods and techniques for skill acquisition.
Motivation and Goal-Directed Behavior,Extrinsic Motivation,Consequence Awareness,Behavioral Inhibition,Impulse Control,,,,The ability to suppress or delay immediate emotional reactions when necessary
Motivation and Goal-Directed Behavior,Extrinsic Motivation,Consequence Awareness,Behavioral Inhibition,Alternative Selection,,,,The reaction to and engagement with difficult tasks that promote skill development.
Motivation and Goal-Directed Behavior,Goal Setting,,,,,,,The willingness to engage with challenging tasks rather than avoiding them.
Motivation and Goal-Directed Behavior,Goal Setting,Goal Planning,,,,,,The ability to maintain motivation and effort despite setbacks or failures.
Motivation and Goal-Directed Behavior,Goal Setting,Goal Planning,Task Analysis,,,,,"The ability to plan, prepare, and store food safely"
Motivation and Goal-Directed Behavior,Goal Setting,Goal Planning,Task Analysis,Component Identification,,,,The internal desire for self-direction and independence in choosing and pursuing activities.
Motivation and Goal-Directed Behavior,Goal Setting,Goal Planning,Task Analysis,Sequence Planning,,,,The tendency to make choices and decisions autonomously rather than relying on others.
Motivation and Goal-Directed Behavior,Goal Setting,Goal Planning,Resource Assessment,,,,,The level of trust in one's own judgment and decision-making abilities.
Motivation and Goal-Directed Behavior,Goal Setting,Goal Planning,Resource Assessment,Resource Identification,,,,The ability to form opinions and make decisions based on personal analysis.
Motivation and Goal-Directed Behavior,Goal Setting,Goal Planning,Resource Assessment,Resource Availability Analysis,,,,The ability to independently initiate and carry out chosen activities without external direction.
Motivation and Goal-Directed Behavior,Goal Setting,Goal Prioritization,,,,,,The confidence and ability to accomplish tasks without depending on others.
Motivation and Goal-Directed Behavior,Goal Setting,Goal Prioritization,Value Assessment,,,,,The ability to address challenges and find solutions autonomously.
Motivation and Goal-Directed Behavior,Goal Setting,Goal Prioritization,Value Assessment,Personal Value Alignment,,,,"The drive to engage in activities based on external rewards, recognition, or consequences rather than inherent satisfaction."
Motivation and Goal-Directed Behavior,Goal Setting,Goal Prioritization,Value Assessment,Impact Evaluation,,,,The degree of responsiveness to external rewards and positive reinforcement.
Motivation and Goal-Directed Behavior,Goal Setting,Goal Prioritization,Temporal Organization,,,,,The response to and influence of immediate rewards on behavior.
Motivation and Goal-Directed Behavior,Goal Setting,Goal Prioritization,Temporal Organization,Timeline Creation,,,,The ability to identify and understand available immediate rewards.
Motivation and Goal-Directed Behavior,Goal Setting,Goal Prioritization,Temporal Organization,Schedule Integration,,,,The ability to evaluate the significance and desirability of immediate rewards.
Motivation and Goal-Directed Behavior,Goal Setting,Goal Adaptation,,,,,,The ability to work toward and remain motivated by future rewards.
Motivation and Goal-Directed Behavior,Goal Setting,Goal Adaptation,Feedback Integration,,,,,The ability to stop an ongoing motor response when signaled
Motivation and Goal-Directed Behavior,Goal Setting,Goal Adaptation,Feedback Integration,Feedback Recognition,,,,The ability to completely stop an action in progress
Motivation and Goal-Directed Behavior,Goal Setting,Goal Adaptation,Feedback Integration,Goal Modification,,,,The ability to mentally represent and maintain focus on future rewards.
Motivation and Goal-Directed Behavior,Goal Setting,Goal Adaptation,Environmental Adjustment,,,,,The ability to resist immediate rewards in favor of larger future rewards.
Motivation and Goal-Directed Behavior,Goal Setting,Goal Adaptation,Environmental Adjustment,Situational Assessment,,,,The ability to rapidly cease muscle activation patterns
Motivation and Goal-Directed Behavior,Goal Setting,Goal Adaptation,Environmental Adjustment,Adaptive Planning,,,,"The drive to perform activities to gain approval, praise, or acknowledgment from others."
Motivation and Goal-Directed Behavior,Goal Pursuit,,,,,,,The motivation to gain acceptance and recognition from peers.
Motivation and Goal-Directed Behavior,Goal Pursuit,Initiative,,,,,,The tendency to evaluate oneself in relation to peers and adjust behavior accordingly.
Motivation and Goal-Directed Behavior,Goal Pursuit,Initiative,Action Initiation,,,,,The sensitivity and reaction to peer opinions and evaluations.
Motivation and Goal-Directed Behavior,Goal Pursuit,Initiative,Action Initiation,Task Activation,,,,The motivation to gain acceptance and recognition from authority figures.
Motivation and Goal-Directed Behavior,Goal Pursuit,Initiative,Action Initiation,Initial Momentum,,,,The sensitivity and reaction to feedback from authority figures.
Motivation and Goal-Directed Behavior,Goal Pursuit,Initiative,Proactive Planning,,,,,The tendency to showcase accomplishments to authority figures.
Motivation and Goal-Directed Behavior,Goal Pursuit,Initiative,Proactive Planning,Preparation Assessment,,,,The understanding and response to potential negative outcomes or punishments.
Motivation and Goal-Directed Behavior,Goal Pursuit,Initiative,Proactive Planning,Advance Organization,,,,The ability to evaluate potential negative consequences of actions.
